Date,Object Size (MB),Total Time
Thu Apr 14 16:03:15 2022,1024,325.417
Thu Apr 14 16:08:48 2022,16,73.1681
Thu Apr 14 16:10:06 2022,256,124.784
Thu Apr 14 16:12:24 2022,1024,237.412
Thu Apr 14 16:16:27 2022,1,99.6135
Thu Apr 14 16:18:16 2022,64,76.718
Thu Apr 14 16:19:49 2022,256,132.192
Thu Apr 14 16:22:07 2022,64,76.7862
Thu Apr 14 16:23:40 2022,16,73.2548
Thu Apr 14 16:24:58 2022,16,44.5435
Thu Apr 14 16:25:46 2022,4,74.4903
Thu Apr 14 16:27:05 2022,4,76.9771
Thu Apr 14 16:28:38 2022,1024,208.709
Thu Apr 14 16:32:11 2022,256,143.456
Thu Apr 14 16:34:44 2022,1,100.496
Thu Apr 14 16:36:32 2022,4,75.6569
Thu Apr 14 16:37:50 2022,1,97.1605
Thu Apr 14 16:39:39 2022,64,79.0441
