Date,# of connections,Total Time
Sun Apr 17 14:45:11 2022,64,44.8542
Sun Apr 17 14:45:59 2022,4,327.976
Sun Apr 17 14:51:32 2022,64,43.7155
Sun Apr 17 14:52:21 2022,16,100.283
Sun Apr 17 14:54:09 2022,4,302.478
Sun Apr 17 14:59:27 2022,16,99.0584
Sun Apr 17 15:01:15 2022,256,40.2943
Sun Apr 17 15:02:03 2022,1,1113.15
Sun Apr 17 15:20:53 2022,64,44.317
Sun Apr 17 15:21:41 2022,1,1179.53
Sun Apr 17 15:41:30 2022,25,69.845
Sun Apr 17 15:42:48 2022,512,39.5958
Sun Apr 17 15:43:36 2022,256,40.1283
Sun Apr 17 15:44:24 2022,25,72.0602
Sun Apr 17 15:45:42 2022,1,1159.17
Sun Apr 17 16:05:17 2022,512,39.9612
Sun Apr 17 16:06:05 2022,512,39.5634
Sun Apr 17 16:06:53 2022,16,97.6347
Sun Apr 17 16:08:41 2022,4,298.89
Sun Apr 17 16:13:44 2022,25,71.4674
Sun Apr 17 16:15:03 2022,256,39.9803
