Date,Type,Local computation,Row Size,# of request,I/O Size (Byte),Total Time (s)
Tue Apr 26 22:19:50 2022,range,Yes,256,256,33554432,2.74432
Tue Apr 26 22:20:08 2022,merge,Yes,8192,1,1073614848,136.098
Tue Apr 26 22:22:26 2022,range,Yes,512,512,33554432,3.79074
Tue Apr 26 22:22:45 2022,merge,Yes,2048,1,268320768,86.8068
Tue Apr 26 22:24:18 2022,merge,No,2048,1,268320768,43.4949
Tue Apr 26 22:25:06 2022,range,No,32768,32768,33554432,252.669
Tue Apr 26 22:29:24 2022,merge,Yes,32768,1,4294837248,456.502
Tue Apr 26 22:37:13 2022,get,Yes,512,16,67108864,5.24223
Tue Apr 26 22:37:31 2022,range,No,256,256,33554432,3.77212
Tue Apr 26 22:37:49 2022,get,Yes,16384,16,67108864,5.13306
Tue Apr 26 22:38:07 2022,merge,No,16384,1,2147354624,277.087
Tue Apr 26 22:42:55 2022,range,Yes,1024,1024,33554432,3.35094
Tue Apr 26 22:43:13 2022,merge,Yes,256,1,33554432,8.21461
Tue Apr 26 22:43:31 2022,merge,Yes,1024,1,134119424,46.687
Tue Apr 26 22:44:34 2022,range,No,2048,2048,33554432,3.81279
Tue Apr 26 22:44:52 2022,get,No,4096,8,33554432,3.35927
Tue Apr 26 22:45:11 2022,merge,No,4096,1,536748032,151.436
Tue Apr 26 22:47:59 2022,range,Yes,16384,16384,33554432,100.737
Tue Apr 26 22:49:47 2022,get,No,32768,32,134217728,5.93535
Tue Apr 26 22:50:05 2022,range,Yes,8192,8192,33554432,57.7523
Tue Apr 26 22:51:08 2022,get,No,8192,8,33554432,4.04472
Tue Apr 26 22:51:26 2022,range,Yes,2048,2048,33554432,3.77994
Tue Apr 26 22:51:44 2022,merge,No,2048,1,268320768,21.3634
Tue Apr 26 22:52:18 2022,merge,No,4096,1,536748032,196.679
Tue Apr 26 22:55:51 2022,get,No,4096,8,33554432,4.87356
Tue Apr 26 22:56:09 2022,range,No,4096,4096,33554432,23.7225
Tue Apr 26 22:56:42 2022,merge,Yes,2048,1,268320768,85.0811
Tue Apr 26 22:58:15 2022,get,Yes,1024,8,33554432,5.10156
