RID,ConnectLatency,DnsLatency,RequestLatency,SslLatency,AcquireTime,ServerReceiveTime,ServerTotalTime,ServerTurnaroundTime
1KX1K4PK5VBA3ZCH,65,4,67,0,0,0,16,15
1KXBYCSZVDMEAX5G,64,4,65,0,0,0,17,16
1KXC5RXE2A9EZGFB,64,4,65,0,0,0,17,16
1KX0J8Y19YBKM7H1,67,4,71,0,0,0,16,15
1KXA97BWBE0D5S4E,69,4,73,0,0,0,18,17
1KX5FH2JWE970R3R,72,4,73,0,0,0,19,18
1KX0GAAHGXPGQZSM,85,4,86,0,0,0,34,33
1KX647D5TV2W3BFH,80,4,81,0,0,0,33,32
1KX1HN4GP57CWC6T,77,4,78,0,0,0,28,27
1KX5VM381GP18DPQ,70,4,71,0,0,0,19,18
1KXDN6N9NMPQV335,75,4,76,0,0,0,25,24
1KX8VRG6N1RCA01D,89,4,93,0,0,0,32,31
1KX7KJ3Y7RN2885V,97,4,106,0,0,0,45,44
1KX6JCVESXKEP912,109,4,116,0,0,0,54,50
1KXAMMMQWQNQV9WB,93,4,117,0,0,0,42,41
1KX9X1B43C161HDG,90,4,112,0,0,0,39,38
1KXA5RVDR2C7PTQT,108,4,109,0,0,0,48,48
1KX5YD1NPETRZZRQ,116,4,116,0,0,0,66,65
1KXA3012RVGMFFRT,93,4,104,0,0,0,42,41
1KXAGPP0QH838472,90,4,117,0,0,0,32,31
1KXEASTPWE4H4JZ6,88,4,123,0,0,0,39,39
1KX5H3NC5G92XH7Z,141,4,142,0,0,0,93,92
1KX8S2Q185KK6A0P,83,16,84,0,0,0,20,19
1KXE7R8SQT6BR203,95,4,140,0,0,0,32,32
1KX15WWVEZ2YYDAC,93,4,156,0,0,0,43,42
1KX1317413WYCJ8A,113,28,114,0,0,0,24,23
1KX83TK75QK775EJ,107,4,149,0,0,0,48,47
1KX3V6318SS8GSYW,102,4,158,0,0,0,53,52
1KX3GF46F78TS16X,80,4,159,0,0,0,31,30
1KXF2BKDGCHAW3KC,98,4,167,0,0,0,50,49
1KXDMERMYQMTXGEV,100,4,171,0,0,0,49,48
1KX68BHW9NZYJ1KC,94,4,173,0,0,0,46,46
1KX258JJERGZQQ43,95,4,160,0,0,0,46,45
1KXFFQFFXWDSEM38,100,4,151,0,0,0,48,48
1KX8VBWATDZDTFRJ,89,4,169,0,0,0,42,41
1KX1DEWRWSX4T9GR,95,4,179,0,0,0,44,43
1KX616ZTV3R2D9E9,97,4,166,0,0,0,46,46
1KX9J165DZDSDQNG,79,4,110,0,0,0,22,21
1KX20906299ZY6JR,122,4,180,0,0,0,61,60
1KX4R1DVZ41KBE7M,103,4,170,0,0,0,51,50
1KX59K4E5EQK55VT,103,4,173,0,0,0,51,50
1KXFCK6Q2CVFAYFK,119,4,179,0,0,0,72,71
1KX7CSX4P4RDP8JE,89,6,144,0,0,0,17,16
1KX0BGEN312GBXA6,117,4,210,0,0,0,67,66
1KXFAHZ835Y0CGRQ,104,28,160,0,0,0,16,15
1KXBMHKFVE38Y3RX,94,12,147,0,0,0,20,19
1KX4JYX7ENN8C8N0,147,4,174,0,0,0,99,98
1KX0WTFNJDBE750M,132,4,210,0,0,0,75,74
1KX0H2JTRK048GMP,73,6,149,0,0,0,21,21
1KX2FY55QD7434DH,97,22,98,0,0,0,18,17
1KX35GK6B9V1MBN3,94,28,173,0,0,0,17,17
1KXFF2CJR4GXQ3BG,153,12,173,0,0,0,17,17
1KX3KWXB7702PK22,80,12,112,0,0,0,21,20
1KX2JY939Y5P21VA,93,4,218,0,0,0,43,42
1KX4VFGP5F6ADXPA,127,4,164,0,0,0,19,18
1KX1FVJZ098N3AED,90,4,224,0,0,0,41,41
1KXAKMAXGQ30SYHM,180,60,207,0,0,0,13,12
1KX1DXY2RK44WS16,105,4,149,0,0,0,14,14
1KX0ZY65ST07JNRS,100,28,191,0,0,0,21,20
1KX776SZS59SHN32,127,60,160,0,0,0,24,23
1KX1VQ8KX6X4RT8X,92,0,117,0,0,0,46,45
1KX92C9N9YDZ10HF,84,5,162,0,0,0,22,21
1KX3VZEX8RZXNHFT,154,4,154,0,0,0,13,12
1KX2BY7RF7ZTQDQ4,133,28,184,0,0,0,14,13
1KX4DEA8TJ0WKTPA,140,4,227,0,0,0,16,15
1KX0RF4VEMYTMDG9,101,4,177,0,0,0,48,47
1KX9RQ3SPCDMXDGC,104,4,242,0,0,0,54,53
1KX87N45MBR0B1FZ,120,12,123,0,0,0,25,24
1KXD0MJMMNVXX3A5,99,28,132,0,0,0,24,23
1KX71RN0TH3AR791,87,4,207,0,0,0,21,20
1KX577PSB36MD3F7,110,4,168,0,0,0,62,62
1KX31S4ARR579S6A,177,4,244,0,0,0,17,16
1KX296YT7N4X22R9,109,4,234,0,0,0,16,16
1KX3TMVG57A5W60E,159,12,243,0,0,0,16,15
1KXCXNXAFQT45EKM,92,4,176,0,0,0,45,44
1KXBDNFPZCZKHGQ4,71,0,94,0,0,0,20,19
1KXCMKTTVD8RB8QT,90,12,120,0,0,0,19,18
1KX7A033VA9EVWBE,83,12,194,0,0,0,20,19
1KXDEAV1Z90G3R6P,84,4,168,0,0,0,32,31
1KX2QWVVECSJKQWM,84,5,108,0,0,0,24,23
1KXCSJN3881E47VD,109,4,178,0,0,0,60,59
1KXFBTJXEETW0NKY,98,4,167,0,0,0,49,48
1KXE7MF2E7NVZC35,88,4,170,0,0,0,35,34
1KXF82DWEVRMTT40,136,28,213,0,0,0,12,11
1KX3E4V0D4JYB19N,153,4,259,0,0,0,101,100
1KX4CPRKEJKXYY03,93,7,112,0,0,0,20,19
1KX1EMWM9BJRARTN,124,28,131,0,0,0,23,22
1KX2YH5RFA8FPEBX,105,4,173,0,0,0,56,55
1KXDSHGRPC9FE4XW,123,5,200,0,0,0,14,13
1KX2NBGS7WDXG459,172,4,251,0,0,0,13,13
1KX7A8YFC8ZW9152,87,4,136,0,0,0,18,17
1KX97R0Y5R6K639V,106,28,137,0,0,0,19,18
1KXE6RS9HPE4K8DF,77,12,114,0,0,0,20,19
1KXFYDN79CWTPR8Q,136,60,249,0,0,0,18,17
1KXFVS4ZK43VDF2B,102,4,170,0,0,0,50,49
1KXBJYT1AS17CQ8B,108,4,170,0,0,0,58,58
1KXD5TKT522WRRWJ,97,4,180,0,0,0,49,48
