S3_LOG_BUCKET_OWNER,S3_LOG_BUCKET,S3_LOG_DATETIME,S3_LOG_IP,S3_LOG_REQUESTOR_ID,S3_LOG_REQUEST_ID,S3_LOG_OPERATION,S3_LOG_KEY,S3_LOG_HTTP_METHOD_URI_PROTO,S3_LOG_HTTP_STATUS,S3_LOG_S3_ERROR,S3_LOG_BYTES_SENT,S3_LOG_OBJECT_SIZE,S3_LOG_TOTAL_TIME,S3_LOG_TURN_AROUND_TIME,S3_LOG_REFERER,S3_LOG_USER_AGENT
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:26 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,4W691E9STFVR7B8D,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,40,39,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:27 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,Q563ZZ1PAT0P64DK,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,17,16,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:27 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,Q5679X8XATJTDMBS,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,19,18,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:27 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,Q568J13V7Q2J81ND,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,17,16,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:28 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,BWJ6SNSKF06ZEB8Y,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,31,30,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:28 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,BWJ7Q483W1ZN4DKM,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,19,18,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:28 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,BWJB5A8PZFG7G5TG,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,17,16,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:28 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,BWJBYR94FE42PJTB,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,16,15,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:29 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,4N1WQ01RV3QKH90M,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,19,19,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:29 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,4N1WRTHQZD4630EB,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,23,22,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:30 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,B6B0BC3GD2QS7X0R,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,18,17,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:30 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,B6B0SB5H06F2QD4T,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,25,24,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:30 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,B6B157NGR2XN634R,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,39,38,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:30 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,B6B1Q77K8148C6X4,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,40,40,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:30 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,B6B2Q84D3HRM91T8,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,43,42,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,30/May/2022:19:12:30 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,B6B4JBHVD40KTMTC,REST.GET.OBJECT,end_to_end_2.h5/test/0,GET /end_to_end_2.h5/test/0 HTTP/1.1,206,-,8192,4294967296,36,35,-,aws-sdk-cpp/1.9.217 Linux/4.15.0-175-generic x86_64 GCC/6.5.0
