Date,Executor,Type,Row Size,# of request,I/O Size (Bytes),Total Time (s)
Wed Jun  1 12:57:02 2022,Default,range,8192,8192,33554432,74.8054
Wed Jun  1 12:58:20 2022,Default,merge,1024,1,134119424.0,26.2251
Wed Jun  1 12:58:53 2022,Default,get,32768,32,134217728,5.28232
Wed Jun  1 12:59:11 2022,Default,merge,32768,1,4294837248.0,630.677
Wed Jun  1 13:09:45 2022,Pooled,get,512,16,67108864,4.94217
Wed Jun  1 13:10:03 2022,Pooled,get,1024,8,33554432,3.90325
Wed Jun  1 13:10:21 2022,Default,get,512,16,67108864,4.26194
Wed Jun  1 13:10:39 2022,Pooled,range,256,256,33554432,3.94031
Wed Jun  1 13:10:57 2022,Default,get,256,32,134217728,5.10156
Wed Jun  1 13:11:15 2022,Default,get,8192,8,33554432,4.30012
Wed Jun  1 13:11:33 2022,Default,merge,2048,1,268320768.0,53.9891
Wed Jun  1 13:12:37 2022,Default,range,16384,16384,33554432,104.661
Wed Jun  1 13:14:25 2022,Pooled,get,8192,8,33554432,4.68648
Wed Jun  1 13:14:43 2022,Pooled,merge,1024,1,134119424.0,29.9415
Wed Jun  1 13:15:16 2022,Default,merge,8192,1,1073614848.0,229.922
Wed Jun  1 13:19:19 2022,Pooled,range,1024,1024,33554432,3.86062
Wed Jun  1 13:19:37 2022,Pooled,get,16384,16,67108864,4.90057
Wed Jun  1 13:19:55 2022,Default,merge,2048,1,268320768.0,62.9017
Wed Jun  1 13:21:13 2022,Pooled,range,32768,32768,33554432,20.1377
Wed Jun  1 13:21:46 2022,Pooled,range,16384,16384,33554432,9.42317
Wed Jun  1 13:22:05 2022,Pooled,merge,512,1,67043328.0,10.1404
Wed Jun  1 13:22:23 2022,Pooled,range,1024,1024,33554432,3.89774
Wed Jun  1 13:22:41 2022,Default,merge,8192,1,1073614848.0,137.671
Wed Jun  1 13:25:14 2022,Default,merge,512,1,67043328.0,20.7882
Wed Jun  1 13:25:47 2022,Pooled,range,16384,16384,33554432,10.0235
Wed Jun  1 13:26:05 2022,Default,range,32768,32768,33554432,286.147
Wed Jun  1 13:30:53 2022,Default,merge,16384,1,2147354624.0,282.026
Wed Jun  1 13:35:42 2022,Default,range,4096,4096,33554432,49.5249
Wed Jun  1 13:36:45 2022,Default,range,1024,1024,33554432,3.76175
Wed Jun  1 13:37:03 2022,Pooled,merge,256,1,33554432.0,14.1177
Wed Jun  1 13:37:21 2022,Pooled,range,8192,8192,33554432,4.43179
Wed Jun  1 13:37:39 2022,Pooled,get,8192,8,33554432,3.44042
Wed Jun  1 13:37:57 2022,Default,range,1024,1024,33554432,3.75392
Wed Jun  1 13:38:15 2022,Default,range,4096,4096,33554432,54.7897
Wed Jun  1 13:39:18 2022,Pooled,get,32768,32,134217728,5.4272
Wed Jun  1 13:39:36 2022,Pooled,get,2048,8,33554432,3.92756
Wed Jun  1 13:39:54 2022,Default,range,512,512,33554432,3.80682
Wed Jun  1 13:40:13 2022,Default,get,4096,8,33554432,4.06402
Wed Jun  1 13:40:31 2022,Default,get,512,16,67108864,5.35131
Wed Jun  1 13:40:49 2022,Default,merge,256,1,33554432.0,12.3588
Wed Jun  1 13:41:07 2022,Pooled,get,32768,32,134217728,5.15567
Wed Jun  1 13:41:25 2022,Pooled,merge,512,1,67043328.0,19.3024
Wed Jun  1 13:41:58 2022,Pooled,merge,256,1,33554432.0,11.5333
Wed Jun  1 13:42:16 2022,Pooled,merge,8192,1,1073614848.0,209.286
Wed Jun  1 13:45:49 2022,Pooled,get,256,32,134217728,5.05031
Wed Jun  1 13:46:07 2022,Pooled,merge,2048,1,268320768.0,58.8918
Wed Jun  1 13:47:10 2022,Pooled,get,16384,16,67108864,4.78845
Wed Jun  1 13:47:29 2022,Default,merge,512,1,67043328.0,19.6334
Wed Jun  1 13:48:02 2022,Default,get,4096,8,33554432,4.19115
Wed Jun  1 13:48:20 2022,Default,get,1024,8,33554432,4.08456
Wed Jun  1 13:48:38 2022,Default,range,8192,8192,33554432,55.3993
Wed Jun  1 13:49:41 2022,Pooled,get,512,16,67108864,5.05388
Wed Jun  1 13:49:59 2022,Pooled,merge,16384,1,2147354624.0,341.757
Wed Jun  1 13:55:47 2022,Pooled,merge,4096,1,536748032.0,97.1156
Wed Jun  1 13:57:35 2022,Pooled,get,4096,8,33554432,3.66115
Wed Jun  1 13:57:54 2022,Pooled,get,2048,8,33554432,5.04331
Wed Jun  1 13:58:12 2022,Default,get,256,32,134217728,5.62914
Wed Jun  1 13:58:30 2022,Pooled,merge,8192,1,1073614848.0,192.48
Wed Jun  1 14:01:48 2022,Pooled,range,4096,4096,33554432,3.88363
Wed Jun  1 14:02:06 2022,Default,range,32768,32768,33554432,528.334
Wed Jun  1 14:11:10 2022,Default,get,256,32,134217728,5.62551
Wed Jun  1 14:11:28 2022,Pooled,get,1024,8,33554432,3.73563
Wed Jun  1 14:11:46 2022,Pooled,range,256,256,33554432,4.04279
Wed Jun  1 14:12:04 2022,Pooled,range,256,256,33554432,4.02619
Wed Jun  1 14:12:22 2022,Default,range,8192,8192,33554432,73.0216
