Date,Chunking,Type,Row Size,Starting Point,# of request,I/O Size (Bytes),Total Time (s)
Fri Jun 10 15:29:49 2022,Yes,One GET Per Chunk,4096,"[512, 512]",15,62914560,5.39469
Fri Jun 10 15:30:07 2022,Yes,Multiple RANGE per Chunk,16384,"[512, 768]",32768,33554432,16.2508
Fri Jun 10 15:30:40 2022,Yes,Multiple RANGE per Chunk,16384,"[512, 768]",32768,33554432,14.1906
Fri Jun 10 15:30:58 2022,Yes,One RANGE per Chunk,8192,"[512, 512]",18,67108864,4.24197
Fri Jun 10 15:31:16 2022,No,Multiple RANGE per Chunk,4096,"[512, 512]",4096,33554432,4.06344
Fri Jun 10 15:31:34 2022,Yes,Multiple RANGE per Chunk,512,"[768, 512]",8704,33554432,4.99437
Fri Jun 10 15:31:52 2022,Yes,Multiple RANGE per Chunk,512,"[768, 512]",8704,33554432,4.73747
Fri Jun 10 15:32:10 2022,No,One RANGE per Chunk,1024,"[512, 512]",1,134119424,29.8398
Fri Jun 10 15:32:44 2022,Yes,Multiple RANGE per Chunk,2048,"[512, 512]",10240,33554432,5.53946
Fri Jun 10 15:33:02 2022,No,Multiple RANGE per Chunk,1024,"[512, 512]",1024,33554432,3.87793
Fri Jun 10 15:33:20 2022,No,Multiple RANGE per Chunk,256,"[896, 0]",256,33554432,4.11045
Fri Jun 10 15:33:38 2022,Yes,One RANGE per Chunk,8192,"[512, 512]",18,67108864,6.16304
Fri Jun 10 15:33:56 2022,Yes,One RANGE per Chunk,256,"[896, 0]",64,33554432,3.01934
Fri Jun 10 15:34:14 2022,Yes,One RANGE per Chunk,16384,"[512, 768]",34,134217728,5.37704
Fri Jun 10 15:34:32 2022,No,One RANGE per Chunk,16384,"[512, 768]",1,2147354624,340.75
Fri Jun 10 15:40:20 2022,No,One RANGE per Chunk,1024,"[512, 512]",1,134119424,41.1099
Fri Jun 10 15:41:08 2022,No,Multiple RANGE per Chunk,32768,"[0, 896]",32768,33554432,17.4976
Fri Jun 10 15:41:41 2022,Yes,One RANGE per Chunk,4096,"[512, 512]",15,50331648,4.96633
Fri Jun 10 15:42:00 2022,No,One RANGE per Chunk,4096,"[512, 512]",1,536748032,148.42
Fri Jun 10 15:44:33 2022,No,Multiple RANGE per Chunk,4096,"[512, 512]",4096,33554432,5.38477
Fri Jun 10 15:44:51 2022,Yes,Multiple RANGE per Chunk,1024,"[512, 512]",9216,33554432,4.83281
Fri Jun 10 15:45:09 2022,No,Multiple RANGE per Chunk,2048,"[512, 512]",2048,33554432,3.87554
Fri Jun 10 15:45:27 2022,Yes,One GET Per Chunk,8192,"[512, 512]",18,75497472,4.66007
Fri Jun 10 15:45:45 2022,Yes,One RANGE per Chunk,32768,"[0, 896]",64,268435456,6.55971
Fri Jun 10 15:46:03 2022,No,One RANGE per Chunk,8192,"[512, 512]",1,1073614848,192.189
Fri Jun 10 15:49:21 2022,No,Multiple RANGE per Chunk,512,"[768, 512]",512,33554432,3.9082
Fri Jun 10 15:49:39 2022,No,Multiple RANGE per Chunk,512,"[768, 512]",512,33554432,4.03663
Fri Jun 10 15:49:57 2022,Yes,One GET Per Chunk,1024,"[512, 512]",18,75497472,5.45537
Fri Jun 10 15:50:15 2022,Yes,One RANGE per Chunk,256,"[896, 0]",64,33554432,4.03762
