Date,Object Size (KB),Total Time
Tue Jun 21 21:05:48 2022,16.0,232.228
Tue Jun 21 21:09:51 2022,16384.0,76.8117
Tue Jun 21 21:11:24 2022,4096.0,76.9945
Tue Jun 21 21:12:58 2022,64.0,85.1563
Tue Jun 21 21:14:31 2022,256.0,77.4808
Tue Jun 21 21:16:04 2022,64.0,83.1146
Tue Jun 21 21:17:37 2022,16.0,264.114
Tue Jun 21 21:22:10 2022,16.0,231.558
Tue Jun 21 21:26:14 2022,1048576.0,88.7557
Tue Jun 21 21:27:47 2022,1024.0,76.0562
Tue Jun 21 21:29:20 2022,262144.0,123.583
Tue Jun 21 21:31:38 2022,262144.0,107.495
Tue Jun 21 21:33:41 2022,65536.0,83.7258
Tue Jun 21 21:35:15 2022,1048576.0,201.515
Tue Jun 21 21:38:48 2022,262144.0,97.0298
Tue Jun 21 21:40:36 2022,256.0,76.87
Tue Jun 21 21:42:09 2022,1024.0,76.4398
Tue Jun 21 21:43:42 2022,16384.0,76.7067
Tue Jun 21 21:45:15 2022,65536.0,83.5329
Tue Jun 21 21:46:48 2022,65536.0,91.0331
Tue Jun 21 21:48:37 2022,256.0,76.932
Tue Jun 21 21:50:10 2022,16384.0,77.4922
Tue Jun 21 21:51:43 2022,1048576.0,250.665
Tue Jun 21 21:56:01 2022,64.0,80.0127
Tue Jun 21 21:57:34 2022,4096.0,76.2985
Tue Jun 21 21:59:07 2022,4096.0,76.3455
Tue Jun 21 22:00:41 2022,1024.0,76.2819
