Date,Chunk Size (KB),Type,Total Time,Start Timestamp,End Timestamp,# of Lambda request
Mon Jul 25 17:56:20 2022,1024.0,Lambda,36.0766,1658786181107,1658786241646,244
Mon Jul 25 17:57:24 2022,256.0,GET,36.9877,1658786244841,1658786301703,0
Mon Jul 25 17:58:27 2022,4096.0,Lambda,35.5844,1658786308109,1658786360290,124
Mon Jul 25 17:59:31 2022,4096.0,GET,39.5245,1658786371125,1658786427334,0
Mon Jul 25 18:00:34 2022,16384.0,Lambda,56.0336,1658786434263,1658786505976,60
Mon Jul 25 18:01:52 2022,64.0,GET,36.873,1658786513474,1658786569557,0
Mon Jul 25 18:02:56 2022,16384.0,GET,39.9108,1658786577091,1658786636124,0
Mon Jul 25 18:04:00 2022,1024.0,GET,37.5432,1658786640309,1658786698215,0
Mon Jul 25 18:05:04 2022,4096.0,Lambda,36.1425,1658786705066,1658786758616,124
Mon Jul 25 18:06:08 2022,4096.0,Lambda,37.6419,1658786768457,1658786824315,124
Mon Jul 25 18:07:11 2022,1024.0,Lambda,40.2697,1658786831682,1658786889174,244
Mon Jul 25 18:08:15 2022,1024.0,GET,37.9805,1658786895832,1658786952498,0
Mon Jul 25 18:09:18 2022,4096.0,GET,39.6453,1658786958958,1658787017598,0
Mon Jul 25 18:10:22 2022,16384.0,Lambda,56.8679,1658787022308,1658787098814,60
Mon Jul 25 18:11:55 2022,64.0,GET,37.2361,1658787116115,1658787171597,0
Mon Jul 25 18:12:59 2022,64.0,GET,37.056,1658787179395,1658787232178,0
Mon Jul 25 18:14:02 2022,16384.0,GET,40.082,1658787242697,1658787299648,0
Mon Jul 25 18:15:06 2022,256.0,Lambda,37.2592,1658787306631,1658787363963,484
Mon Jul 25 18:16:09 2022,16384.0,Lambda,55.1564,1658787369972,1658787442003,60
Mon Jul 25 18:17:28 2022,1024.0,GET,37.4875,1658787448430,1658787505213,0
Mon Jul 25 18:18:31 2022,16384.0,GET,40.0839,1658787511815,1658787568297,0
Mon Jul 25 18:19:35 2022,256.0,Lambda,41.9891,1658787575980,1658787637204,484
Mon Jul 25 18:20:53 2022,64.0,Lambda,39.677,1658787654230,1658787712004,964
Mon Jul 25 18:21:57 2022,1024.0,Lambda,35.8295,1658787717581,1658787771946,244
Mon Jul 25 18:23:00 2022,256.0,Lambda,36.3064,1658787781080,1658787836212,484
Mon Jul 25 18:24:04 2022,64.0,Lambda,37.49,1658787844531,1658787900679,964
Mon Jul 25 18:25:07 2022,256.0,GET,36.9695,1658787908188,1658787961746,0
Mon Jul 25 18:26:11 2022,4096.0,GET,39.7909,1658787972012,1658788031687,0
Mon Jul 25 18:27:15 2022,256.0,GET,36.6622,1658788035222,1658788089179,0
Mon Jul 25 18:28:19 2022,64.0,Lambda,37.5082,1658788099595,1658788154377,964
