Date,Chunk Size (KB),Chunk Size,Type,Total Time,Start Timestamp,End Timestamp,# of Lambda request,# of request,Billed Duration (ms),Avg Lambda Time (ms),Lambda Cost,Data transferred Size (MB),Get Cost,Total Cost
Sun Jul 31 02:40:07 2022,4096,4,Lambda,40.19,1659249607574,1659249664108,124,1024,626846,"5,055.21",0.00264,"4,092.25000",0.200226,0.2029
Sun Jul 31 02:41:11 2022,1024,1,Lambda,40.52,1659249672065,1659249730716,252,4096,134314,532.99,0.00061,"4,092.25000",0.201455,0.2021
Sun Jul 31 02:42:30 2022,4096,4,GET,39.80,1659249751123,1659249809892,0,1024,0,0.00,0.00000,"4,096.00000",0.200410,0.2004
Sun Jul 31 02:43:49 2022,1024,1,GET,39.99,1659249830004,1659249892856,0,4096,0,0.00,0.00000,"4,096.00000",0.201638,0.2016
Sun Jul 31 02:45:08 2022,256,0.25,GET,40.27,1659249909090,1659249965063,0,16384,0,0.00,0.00000,"4,096.00000",0.206554,0.2066
Sun Jul 31 02:46:11 2022,64,0.0625,Lambda,42.63,1659249971695,1659250035662,1020,65536,444914,436.19,0.00206,"4,092.25000",0.226031,0.2281
Sun Jul 31 02:47:29 2022,1024,1,GET,39.54,1659250049860,1659250109559,0,4096,0,0.00,0.00000,"4,096.00000",0.201638,0.2016
Sun Jul 31 02:48:32 2022,1024,1,Lambda,40.45,1659250113060,1659250175724,252,4096,118965,472.08,0.00055,"4,092.25000",0.201455,0.2020
Sun Jul 31 02:49:51 2022,4096,4,GET,39.66,1659250191355,1659250249045,0,1024,0,0.00,0.00000,"4,096.00000",0.200410,0.2004
Sun Jul 31 02:50:54 2022,16384,16,GET,40.16,1659250254365,1659250313937,0,256,0,0.00,0.00000,"4,096.00000",0.200102,0.2001
Sun Jul 31 02:51:57 2022,4096,4,Lambda,43.33,1659250317611,1659250377200,124,1024,439297,"3,542.72",0.00186,"4,092.25000",0.200226,0.2021
Sun Jul 31 02:59:33 2022,256,0.25,Lambda,40.08,1659250774097,1659250831624,508,16384,170879,336.38,0.00082,"4,092.25000",0.206370,0.2072
Sun Jul 31 03:00:37 2022,64,0.0625,Lambda,42.54,1659250837106,1659250897379,1020,65536,349935,343.07,0.00166,"4,092.25000",0.226031,0.2277
Sun Jul 31 03:01:55 2022,256,0.25,GET,40.38,1659250916304,1659250974254,0,16384,0,0.00,0.00000,"4,096.00000",0.206554,0.2066
Sun Jul 31 03:02:59 2022,16384,16,GET,39.87,1659250980254,1659251036715,0,256,0,0.00,0.00000,"4,096.00000",0.200102,0.2001
Sun Jul 31 03:04:03 2022,256,0.25,GET,40.17,1659251044012,1659251106037,0,16384,0,0.00,0.00000,"4,096.00000",0.206554,0.2066
Sun Jul 31 03:12:12 2022,256,0.25,Lambda,41.16,1659251533369,1659251590251,508,16384,204414,402.39,0.00096,"4,092.25000",0.206370,0.2073
Sun Jul 31 03:13:16 2022,1024,1,GET,39.78,1659251597037,1659251655319,0,4096,0,0.00,0.00000,"4,096.00000",0.201638,0.2016
Sun Jul 31 03:20:54 2022,64,0.0625,GET,41.25,1659252054726,1659252112021,0,65536,0,0.00,0.00000,"4,096.00000",0.226214,0.2262
Sun Jul 31 03:21:57 2022,64,0.0625,Lambda,42.96,1659252118326,1659252179493,1020,65536,345921,339.14,0.00165,"4,092.25000",0.226031,0.2277
Sun Jul 31 03:23:16 2022,1024,1,Lambda,40.31,1659252197018,1659252253734,252,4096,126155,500.62,0.00058,"4,092.25000",0.201455,0.2020
Sun Jul 31 03:24:20 2022,64,0.0625,GET,40.92,1659252260851,1659252319159,0,65536,0,0.00,0.00000,"4,096.00000",0.226214,0.2262
Sun Jul 31 03:25:24 2022,16384,16,GET,39.62,1659252324792,1659252380395,0,256,0,0.00,0.00000,"4,096.00000",0.200102,0.2001
Sun Jul 31 03:26:28 2022,4096,4,Lambda,41.85,1659252388900,1659252447675,124,1024,494853,"3,990.75",0.00209,"4,092.25000",0.200226,0.2023
Sun Jul 31 03:27:32 2022,64,0.0625,GET,40.93,1659252452742,1659252509191,0,65536,0,0.00,0.00000,"4,096.00000",0.226214,0.2262
Sun Jul 31 03:28:35 2022,256,0.25,Lambda,40.85,1659252516309,1659252575550,508,16384,195152,384.16,0.00092,"4,092.25000",0.206370,0.2073
Sun Jul 31 03:29:39 2022,4096,4,GET,40.03,1659252579476,1659252636325,0,1024,0,0.00,0.00000,"4,096.00000",0.200410,0.2004
