Date,Chunk Size (KB),Type,Total Time,Start Timestamp,End Timestamp,# of Lambda request,# of request
Tue Aug  9 19:55:54 2022,65536.0,Lambda,40.5565,1660089354713,1660089411191,28,64
Tue Aug  9 19:56:59 2022,4096.0,Lambda,41.4492,1660089420822,1660089479891,124,1024
Tue Aug  9 19:58:17 2022,1024.0,Lambda,44.1871,1660089498396,1660089560607,252,4096
Tue Aug  9 19:59:36 2022,16384.0,Lambda,40.1975,1660089577037,1660089635465,60,256
Tue Aug  9 20:00:40 2022,64.0,Lambda,41.7786,1660089640262,1660089697891,1020,65536
Tue Aug  9 20:01:43 2022,16384.0,Lambda,39.8392,1660089704338,1660089763365,60,256
Tue Aug  9 20:02:47 2022,65536.0,Lambda,41.372,1660089767779,1660089828340,28,64
Tue Aug  9 20:04:05 2022,65536.0,Lambda,40.6637,1660089846345,1660089903866,28,64
Tue Aug  9 20:05:09 2022,1024.0,Lambda,40.1141,1660089910228,1660089971565,252,4096
Tue Aug  9 20:06:28 2022,64.0,Lambda,42.3012,1660089988978,1660090049015,1020,65536
Tue Aug  9 20:07:32 2022,64.0,Lambda,42.3115,1660090052329,1660090113240,1020,65536
Tue Aug  9 20:08:50 2022,256.0,Lambda,40.9254,1660090131161,1660090188290,508,16384
Tue Aug  9 20:09:54 2022,256.0,Lambda,45.4426,1660090195103,1660090260139,508,16384
Tue Aug  9 20:11:14 2022,4096.0,Lambda,41.5656,1660090276194,1660090335332,124,1024
Tue Aug  9 20:12:33 2022,16384.0,Lambda,40.3458,1660090354236,1660090413264,60,256
Tue Aug  9 20:13:37 2022,256.0,Lambda,41.2501,1660090417545,1660090478922,508,16384
Tue Aug  9 20:14:56 2022,1024.0,Lambda,40.3274,1660090496669,1660090557081,252,4096
Tue Aug  9 20:16:14 2022,4096.0,Lambda,40.3997,1660090575169,1660090634505,124,1024
