Date,Chunk Size (KB),Chunk Size,Type,Total Time,# of request,Data Transferred Size (Byte),Total Cost
Mon Aug  1 22:52:41 2022,4096,4,Multi-fetch,47.6816,127396,4291036036,0.25078
Mon Aug  1 22:54:00 2022,256,0.25,Multi-fetch,51.3219,144004,4291036036,0.25742
Mon Aug  1 22:55:19 2022,256,0.25,Merge,40.2093,16384,4292993536,0.20646
Mon Aug  1 22:56:37 2022,256,0.25,Multi-fetch,52.4789,144004,4291036036,0.25742
Mon Aug  1 22:57:56 2022,1024,1,Multi-fetch,49.5668,131908,4291036036,0.25258
Mon Aug  1 22:59:15 2022,16384,16,Multi-fetch,44.202,122836,4291036036,0.24895
Mon Aug  1 23:00:34 2022,16384,16,Merge,39.9459,256,4293000256,0.20001
Mon Aug  1 23:01:38 2022,4096,4,Merge,39.785,1024,4292999296,0.20032
Mon Aug  1 23:02:42 2022,4096,4,Multi-fetch,48.114,127396,4291036036,0.25078
Mon Aug  1 23:04:00 2022,256,0.25,Merge,40.7516,16384,4292993536,0.20646
Mon Aug  1 23:05:04 2022,1024,1,Merge,39.9298,4096,4292997376,0.20155
Mon Aug  1 23:06:08 2022,4096,4,Merge,39.7868,1024,4292999296,0.20032
Mon Aug  1 23:07:12 2022,4096,4,Merge,39.9841,1024,4292999296,0.20032
Mon Aug  1 23:08:15 2022,64,0.0625,Multi-fetch,64.596,191236,4291036036,0.27631
Mon Aug  1 23:09:49 2022,256,0.25,Merge,40.1322,16384,4292993536,0.20646
Mon Aug  1 23:10:53 2022,64,0.0625,Multi-fetch,64.7174,191236,4291036036,0.27631
Mon Aug  1 23:12:27 2022,4096,4,Multi-fetch,48.8979,127396,4291036036,0.25078
Mon Aug  1 23:13:45 2022,16384,16,Multi-fetch,45.356,122836,4291036036,0.24895
Mon Aug  1 23:15:05 2022,16384,16,Merge,40.0737,256,4293000256,0.20001
Mon Aug  1 23:16:09 2022,64,0.0625,Merge,40.7766,65536,4292985856,0.22612
Mon Aug  1 23:17:28 2022,256,0.25,Multi-fetch,52.2468,144004,4291036036,0.25742
Mon Aug  1 23:18:47 2022,64,0.0625,Merge,40.9405,65536,4292985856,0.22612
Mon Aug  1 23:20:05 2022,1024,1,Multi-fetch,49.5679,131908,4291036036,0.25258
Mon Aug  1 23:21:24 2022,1024,1,Merge,39.8303,4096,4292997376,0.20155
Mon Aug  1 23:22:27 2022,64,0.0625,Merge,40.8762,65536,4292985856,0.22612
Mon Aug  1 23:23:31 2022,16384,16,Merge,40.1237,256,4293000256,0.20001
Mon Aug  1 23:24:35 2022,16384,16,Multi-fetch,45.588,122836,4291036036,0.24895
Mon Aug  1 23:25:53 2022,1024,1,Multi-fetch,49.5579,131908,4291036036,0.25258
Mon Aug  1 23:27:12 2022,64,0.0625,Multi-fetch,66.059,191236,4291036036,0.27631
Mon Aug  1 23:28:46 2022,1024,1,Merge,39.9968,4096,4292997376,0.20155
Sun Jul 31 02:42:30 2022,4096,4,GET,39.7984,,,0.20041
Sun Jul 31 02:43:49 2022,1024,1,GET,39.9917,,,0.20164
Sun Jul 31 02:45:08 2022,256,0.25,GET,40.2748,,,0.20655
Sun Jul 31 02:47:29 2022,1024,1,GET,39.538,,,0.20164
Sun Jul 31 02:49:51 2022,4096,4,GET,39.6607,,,0.20041
Sun Jul 31 02:50:54 2022,16384,16,GET,40.1581,,,0.2001
Sun Jul 31 03:01:55 2022,256,0.25,GET,40.3847,,,0.20655
Sun Jul 31 03:02:59 2022,16384,16,GET,39.8686,,,0.2001
Sun Jul 31 03:04:03 2022,256,0.25,GET,40.1742,,,0.20655
Sun Jul 31 03:13:16 2022,1024,1,GET,39.779,,,0.20164
