Date,Chunk Size (bytes),Chunk Size,Total Time,Start Timestamp,End Timestamp,Read Data Time(s),Write Back Time(s),Max memory(MB),Billed Duration(ms),Billed Duration(s)
Thu Sep  8 17:37:34 2022,8388608,8,1.42893,1662673054850,1662673056279,0.330146551132202,0.26540994644165,266,658,0.658
Thu Sep  8 17:37:52 2022,262144,0.25,0.671985,1662673072923,1662673073595,0.106057167053223,0.0827860832214355,266,193,0.193
Thu Sep  8 17:37:55 2022,4194304,4,1.07599,1662673075981,1662673077058,0.332715034484863,0.197998285293579,266,544,0.544
Thu Sep  8 17:38:14 2022,67108864,64,5.062,1662673094049,1662673099111,1.48209691047668,2.07047414779663,268,4199,4.199
Thu Sep  8 17:38:32 2022,1048576,1,0.837822,1662673112124,1662673112962,0.208163261413574,0.0904629230499267,268,304,0.304
Thu Sep  8 17:38:35 2022,2097152,2,0.796653,1662673115183,1662673115979,0.168126821517944,0.0980932712554931,268,272,0.272
Thu Sep  8 17:38:38 2022,262144,0.25,0.741812,1662673118241,1662673118983,0.11227822303772,0.0738649368286132,268,191,0.191
Thu Sep  8 17:38:41 2022,262144,0.25,0.664539,1662673121300,1662673121964,0.0795059204101562,0.0766615867614746,268,161,0.161
Thu Sep  8 17:38:44 2022,1048576,1,0.788175,1662673124357,1662673125146,0.110825300216674,0.105054378509521,268,221,0.221
Thu Sep  8 17:38:47 2022,2097152,2,1.46529,1662673127417,1662673128882,0.143259286880493,0.112987995147705,268,262,0.262
Thu Sep  8 17:39:05 2022,16777216,16,1.50877,1662673145492,1662673147001,0.336039066314697,0.470911502838135,268,908,0.908
Thu Sep  8 17:39:23 2022,2097152,2,0.753603,1662673163567,1662673164321,0.136497974395752,0.0937576293945312,268,236,0.236
Thu Sep  8 17:39:26 2022,33554432,32,2.43816,1662673166643,1662673169081,0.551941156387329,0.993799209594726,268,1852,1.852
Thu Sep  8 17:39:44 2022,8388608,8,1.17638,1662673184726,1662673185903,0.219268321990966,0.270242214202881,268,536,0.536
Thu Sep  8 17:40:02 2022,524288,0.5,0.741894,1662673202802,1662673203544,0.133669853210449,0.0927474498748779,268,231,0.231
Thu Sep  8 17:40:05 2022,16777216,16,1.50743,1662673205869,1662673207376,0.345208168029785,0.481079578399658,268,914,0.914
Thu Sep  8 17:40:23 2022,16777216,16,1.48236,1662673223926,1662673225408,0.320133686065674,0.475666046142578,268,901,0.901
Thu Sep  8 17:40:41 2022,67108864,64,4.19491,1662673241986,1662673246181,1.1996431350708,1.72492146492004,270,3555,3.555
Thu Sep  8 17:41:00 2022,8388608,8,1.93712,1662673260053,1662673261990,0.220922470092773,0.230334997177124,270,509,0.509
Thu Sep  8 17:41:18 2022,67108864,64,5.16969,1662673278129,1662673283299,2.05984997749328,1.79490184783936,286,4537,4.537
Thu Sep  8 17:41:36 2022,33554432,32,2.33343,1662673296204,1662673298538,0.55751347541809,0.887154102325439,286,1766,1.766
Thu Sep  8 17:41:54 2022,4194304,4,1.06046,1662673314263,1662673315323,0.346463203430175,0.203028917312622,286,575,0.575
Thu Sep  8 17:42:12 2022,2097152,2,0.803039,1662673332338,1662673333141,0.135142803192139,0.1043541431427,286,252,0.252
Thu Sep  8 17:42:15 2022,524288,0.5,0.713805,1662673335397,1662673336111,0.135927200317382,0.120295524597168,286,261,0.261
Thu Sep  8 17:42:18 2022,16777216,16,1.68294,1662673338455,1662673340138,0.42912745475769,0.501293182373046,286,1019,1.019
Thu Sep  8 17:42:36 2022,8388608,8,2.56904,1662673356531,1662673359100,0.374627590179443,0.190909147262573,286,615,0.615
Thu Sep  8 17:42:54 2022,524288,0.5,0.753393,1662673374607,1662673375360,0.116519212722778,0.0951972007751464,286,216,0.216
Thu Sep  8 17:42:57 2022,67108864,64,4.23164,1662673377674,1662673381905,1.02772569656372,1.95918560028076,286,3637,3.637
Thu Sep  8 17:43:15 2022,1048576,1,0.766098,1662673395740,1662673396506,0.161378860473632,0.0813474655151367,286,248,0.248
Thu Sep  8 17:43:18 2022,524288,0.5,0.654929,1662673398799,1662673399454,0.0909044742584228,0.0609219074249267,286,156,0.156
Thu Sep  8 17:43:21 2022,67108864,64,4.73091,1662673401866,1662673406597,1.33186054229736,2.24466681480407,286,4207,4.207
Thu Sep  8 17:43:39 2022,4194304,4,0.940725,1662673419942,1662673420883,0.179344415664673,0.152802944183349,286,357,0.357
Thu Sep  8 17:43:42 2022,1048576,1,0.774018,1662673423000,1662673423774,0.145179033279419,0.0952017307281494,286,245,0.245
Thu Sep  8 17:43:46 2022,4194304,4,0.962711,1662673426067,1662673427030,0.16379451751709,0.175848245620728,286,357,0.357
Thu Sep  8 17:43:49 2022,4194304,4,1.09723,1662673429126,1662673430223,0.15993332862854,0.149696826934814,286,331,0.331
Thu Sep  8 17:44:07 2022,33554432,32,2.17832,1662673447201,1662673449379,0.511406898498535,0.885600566864013,286,1702,1.702
Thu Sep  8 17:44:25 2022,33554432,32,2.31728,1662673465276,1662673467594,0.508671045303344,0.884528160095214,286,1699,1.699
Thu Sep  8 17:44:43 2022,524288,0.5,0.738432,1662673483352,1662673484090,0.106106281280518,0.129770755767822,286,241,0.241
Thu Sep  8 17:44:46 2022,16777216,16,1.59501,1662673486418,1662673488013,0.327781438827515,0.501007795333862,286,934,0.934
Thu Sep  8 17:45:04 2022,1048576,1,6.25544,1662673504494,1662673510750,0.118906259536743,0.099496841430664,286,223,0.223
Thu Sep  8 17:45:22 2022,8388608,8,1.13032,1662673522694,1662673523824,0.178752183914184,0.247754573822021,286,484,0.484
Thu Sep  8 17:45:40 2022,33554432,32,2.66919,1662673540754,1662673543423,0.553240060806274,1.20150446891785,286,2076,2.076
Thu Sep  8 17:45:58 2022,262144,0.25,0.67821,1662673558829,1662673559508,0.159062623977661,0.0534455776214599,286,217,0.217
Thu Sep  8 17:46:01 2022,262144,0.25,0.623245,1662673561887,1662673562510,0.0727415084838867,0.0877950191497802,286,165,0.165
Thu Sep  8 17:46:04 2022,2097152,2,0.800769,1662673564946,1662673565747,0.166462898254394,0.114289999008179,286,288,0.288
