Date,Chunk Size(MB),Lambda Ratio(%),# of Lambda,Total Time,Start Timestamp,End Timestamp,Read Data Time(s),Write Back Time(s),Billed Duration(ms)
Tue Sep 13 14:42:21 2022,16,20,51,38.8587,1663094541654,1663094604401,0.8890681453779609,13.934680508632272,14962.980392156862
Tue Sep 13 14:43:41 2022,16,60,153,45.9256,1663094622429,1663094687963,0.5781038539861536,14.585394039652678,15410.176470588236
Tue Sep 13 14:45:02 2022,16,40,102,39.7907,1663094704043,1663094770776,0.36571332520129607,14.786980470021549,15240.735294117647
Tue Sep 13 14:46:36 2022,16,0,0,38.6344,1663094797945,1663094853077,0,0,0
Tue Sep 13 14:47:40 2022,16,20,51,38.5798,1663094860762,1663094931734,0.3135388692220049,14.319271896399693,14711.039215686274
Tue Sep 13 14:49:16 2022,16,20,51,38.3651,1663094956711,1663095011556,0.2919161833968813,14.056481973797526,14426.117647058823
Tue Sep 13 14:50:21 2022,16,100,256,38.7188,1663095022128,1663095077481,0.12163403443992131,15.038706710562098,15817.44921875
Tue Sep 13 14:51:25 2022,16,60,153,38.3808,1663095086029,1663095141291,0.1998910093619151,15.559517413182945,15940.54248366013
Tue Sep 13 14:52:32 2022,16,40,102,38.9163,1663095153536,1663095208589,0.29744418929604904,15.570102322335295,15946.803921568628
Tue Sep 13 14:53:36 2022,16,0,0,43.7454,1663095217653,1663095279600,0,0,0
Tue Sep 13 14:54:56 2022,16,80,204,38.6767,1663095296502,1663095352833,0.09969473469491091,16.118699476999378,16484.083333333332
Tue Sep 13 14:56:00 2022,16,60,153,38.4594,1663095360702,1663095450949,0.21153095189262802,15.301535861944053,15677.130718954248
Tue Sep 13 14:57:54 2022,16,100,256,42.3187,1663095477302,1663095535533,0.059953533113002735,15.876895269377055,16275.28515625
Tue Sep 13 14:59:13 2022,16,0,0,37.877,1663095553569,1663095610509,0,0,0
Tue Sep 13 15:00:16 2022,16,80,204,38.1371,1663095616753,1663095672083,0.12718557025872015,15.598069151242525,16004.970588235294
Tue Sep 13 15:01:20 2022,16,100,256,38.5111,1663095680227,1663095734801,0.05820349976420398,15.668425498530251,16056.828125
Tue Sep 13 15:02:23 2022,16,80,204,37.9318,1663095743345,1663095797108,0.11885831636541018,15.594965938259527,15970.29411764706
Tue Sep 13 15:03:26 2022,16,40,102,38.0773,1663095806462,1663095861859,0.28810944276697464,15.180911816802663,15544.607843137255
