S3_LOG_BUCKET_OWNER,S3_LOG_BUCKET,S3_LOG_DATETIME,S3_LOG_IP,S3_LOG_REQUESTOR_ID,S3_LOG_REQUEST_ID,S3_LOG_OPERATION,S3_LOG_KEY,S3_LOG_HTTP_METHOD_URI_PROTO,S3_LOG_HTTP_STATUS,S3_LOG_S3_ERROR,S3_LOG_BYTES_SENT,S3_LOG_OBJECT_SIZE,S3_LOG_TOTAL_TIME,S3_LOG_TURN_AROUND_TIME,S3_LOG_REFERER,S3_LOG_USER_AGENT
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BGKJ4SFSPX0BBF,REST.GET.OBJECT,chunk_size_16777216.h5/test/202,GET /chunk_size_16777216.h5/test/202 HTTP/1.1,200,-,16777216,16777216,8514,162,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BH905MWQZDK3BY,REST.GET.OBJECT,chunk_size_16777216.h5/test/109,GET /chunk_size_16777216.h5/test/109 HTTP/1.1,200,-,16777216,16777216,10610,133,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BQT7SV04JYX1QG,REST.GET.OBJECT,chunk_size_16777216.h5/test/66,GET /chunk_size_16777216.h5/test/66 HTTP/1.1,200,-,16777216,16777216,11096,143,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BYHNQ5DX194QRY,REST.GET.OBJECT,chunk_size_16777216.h5/test/335,GET /chunk_size_16777216.h5/test/335 HTTP/1.1,200,-,16777216,16777216,9809,100,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BYRCPCNH1DY5A5,REST.GET.OBJECT,chunk_size_16777216.h5/test/495,GET /chunk_size_16777216.h5/test/495 HTTP/1.1,200,-,16777216,16777216,13178,212,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BG5RWMVA90TTG4,REST.GET.OBJECT,chunk_size_16777216.h5/test/454,GET /chunk_size_16777216.h5/test/454 HTTP/1.1,200,-,16777216,16777216,7702,89,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BJ3ZZ84A6RHMGR,REST.GET.OBJECT,chunk_size_16777216.h5/test/463,GET /chunk_size_16777216.h5/test/463 HTTP/1.1,200,-,16777216,16777216,9795,117,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BN3YFW00DR7SPM,REST.GET.OBJECT,chunk_size_16777216.h5/test/165,GET /chunk_size_16777216.h5/test/165 HTTP/1.1,200,-,16777216,16777216,12704,155,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BNY9E9069QXZXF,REST.GET.OBJECT,chunk_size_16777216.h5/test/361,GET /chunk_size_16777216.h5/test/361 HTTP/1.1,200,-,16777216,16777216,6331,98,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
82172df641c1b7c5a72bed79ee595d6ed5881337ab996b58fcf04f4e87e720f0,hyperslab-test,14/Sep/2022:18:27:53 +0000,164.107.119.245,arn:aws:iam::286405721330:user/jiang.2091,98BQNY5BJW0RT8QM,REST.GET.OBJECT,chunk_size_16777216.h5/test/160,GET /chunk_size_16777216.h5/test/160 HTTP/1.1,200,-,16777216,16777216,4083,145,-,aws-sdk-cpp/1.9.269 Linux/4.15.0-191-generic x86_64 GCC/6.5.0
