Date,Real Size,Transferred Size(MB),Read Size(MB),Returned Size(MB),Total Time,Start Timestamp,End Timestamp,Billed Duration(ms)
Tue Sep 20 18:50:43 2022,1073741824,1024,4,4,9.90146,1663714243880,1663714272764,572.0
Tue Sep 20 18:51:17 2022,272629760,256,4,8,3.29262,1663714278164,1663714299410,301.0
Tue Sep 20 18:51:51 2022,4232052736,4096,64,4,37.056,1663714311410,1663714365535,197.0
Tue Sep 20 18:53:01 2022,1073741824,1024,4,4,10.0521,1663714384934,1663714420693,178.0
Tue Sep 20 18:53:51 2022,1010827264,1024,64,4,10.694,1663714432176,1663714460025,192.0
Tue Sep 20 18:54:24 2022,268435456,256,4,4,3.11382,1663714464986,1663714485332,117.0
Tue Sep 20 18:54:58 2022,209715200,256,64,8,4.97409,1663714498070,1663714521120,370.0
Tue Sep 20 18:55:31 2022,234881024,256,64,32,2.43101,1663714532293,1663714554737,2050.0
Tue Sep 20 18:56:05 2022,4294967296,4096,4,4,37.3329,1663714566159,1663714622128,201.0
Tue Sep 20 18:57:09 2022,1010827264,1024,64,4,10.6345,1663714630051,1663714659736,273.0
Tue Sep 20 18:57:58 2022,255852544,256,16,4,4.57326,1663714678750,1663714702592,183.0
Tue Sep 20 18:58:32 2022,4282384384,4096,16,4,37.4417,1663714713309,1663714769567,172.0
Tue Sep 20 18:59:37 2022,268435456,256,4,4,3.00036,1663714778975,1663714803020,197.0
Tue Sep 20 19:00:11 2022,260046848,256,16,8,5.06896,1663714812142,1663714835842,256.0
Tue Sep 20 19:00:45 2022,209715200,256,64,8,3.01378,1663714846492,1663714868575,324.0
Tue Sep 20 19:01:19 2022,4311744512,4096,16,32,40.157,1663714880300,1663714938898,37964.0
Tue Sep 20 19:02:24 2022,1015021568,1024,64,8,17.1136,1663714944933,1663714981269,290.0
Tue Sep 20 19:03:13 2022,1010827264,1024,64,4,11.1319,1663714993808,1663715025375,207.0
Tue Sep 20 19:04:03 2022,4236247040,4096,64,8,37.8963,1663715043800,1663715100352,984.0
Tue Sep 20 19:05:08 2022,1040187392,1024,64,32,11.1348,1663715108625,1663715138967,2574.0
Tue Sep 20 19:05:57 2022,4261412864,4096,64,32,38.3428,1663715158150,1663715215419,10622.0
Tue Sep 20 19:07:01 2022,205520896,256,64,4,11.128,1663715222316,1663715252685,183.0
Tue Sep 20 19:07:51 2022,285212672,256,16,32,4.52364,1663715271549,1663715297420,1869.0
Tue Sep 20 19:08:27 2022,4299161600,4096,4,8,37.5799,1663715307858,1663715363832,2537.0
Tue Sep 20 19:09:31 2022,4324327424,4096,4,32,40.3885,1663715372216,1663715431099,37682.0
Tue Sep 20 19:10:36 2022,272629760,256,4,8,3.31736,1663715436733,1663715460823,323.0
Tue Sep 20 19:11:10 2022,1077936128,1024,4,8,10.4255,1663715470691,1663715501035,734.0
Tue Sep 20 19:11:59 2022,4261412864,4096,64,32,37.3251,1663715520549,1663715575816,14479.0
Tue Sep 20 19:13:03 2022,4324327424,4096,4,32,40.1546,1663715584366,1663715643244,37795.0
Tue Sep 20 19:14:08 2022,4236247040,4096,64,8,37.5257,1663715648907,1663715706128,290.0
Tue Sep 20 19:15:12 2022,1090519040,1024,16,32,10.249,1663715713324,1663715742548,8216.0
Tue Sep 20 19:16:02 2022,1065353216,1024,16,8,10.0514,1663715762757,1663715790998,1912.0
Tue Sep 20 19:16:36 2022,4261412864,4096,64,32,37.9076,1663715796915,1663715852824,9342.0
Tue Sep 20 19:17:40 2022,297795584,256,4,32,3.24811,1663715860890,1663715882659,2207.0
Tue Sep 20 19:18:14 2022,1073741824,1024,4,4,10.1605,1663715894815,1663715929670,168.0
Tue Sep 20 19:19:19 2022,4324327424,4096,4,32,40.2172,1663715959557,1663716019276,37202.0
Tue Sep 20 19:20:38 2022,1103101952,1024,4,32,30.4245,1663716038848,1663716089209,11853.0
Tue Sep 20 19:21:42 2022,1090519040,1024,16,32,11.5714,1663716102973,1663716133525,9474.0
Tue Sep 20 19:22:31 2022,4282384384,4096,16,4,65.4202,1663716152206,1663716236179,184.0
Tue Sep 20 19:24:05 2022,1065353216,1024,16,8,10.1671,1663716246256,1663716274366,278.0
Tue Sep 20 19:24:40 2022,1090519040,1024,16,32,11.9711,1663716280656,1663716311913,10475.0
Tue Sep 20 19:25:30 2022,1061158912,1024,16,4,9.84416,1663716331164,1663716359023,186.0
Tue Sep 20 19:26:05 2022,4299161600,4096,4,8,37.5042,1663716365873,1663716421541,447.0
Tue Sep 20 19:27:09 2022,209715200,256,64,8,8.61942,1663716429772,1663716458305,241.0
Tue Sep 20 19:27:58 2022,272629760,256,4,8,3.12298,1663716479272,1663716501625,259.0
Tue Sep 20 19:28:33 2022,4236247040,4096,64,8,37.6236,1663716514297,1663716571366,331.0
Tue Sep 20 19:29:37 2022,1061158912,1024,16,4,10.3651,1663716578505,1663716609722,149.0
Tue Sep 20 19:30:28 2022,1065353216,1024,16,8,10.6332,1663716628772,1663716658438,320.0
Tue Sep 20 19:31:17 2022,285212672,256,16,32,4.09433,1663716678172,1663716703122,2216.0
Tue Sep 20 19:31:51 2022,1065353216,1024,16,8,9.89145,1663716712305,1663716740912,284.0
Tue Sep 20 19:32:25 2022,255852544,256,16,4,3.04948,1663716746330,1663716767746,188.0
Tue Sep 20 19:32:59 2022,1015021568,1024,64,8,10.655,1663716780097,1663716810415,319.0
Tue Sep 20 19:33:49 2022,1015021568,1024,64,8,12.6948,1663716830188,1663716861375,276.0
Tue Sep 20 19:34:39 2022,205520896,256,64,4,3.62674,1663716879755,1663716902193,192.0
