Date,Transferred Size,Transferred Size(MB),Read Size(MB),Returned Size(MB),Total Time,Start Timestamp,End Timestamp,Billed Duration(ms)
Mon Sep 19 18:08:31 2022,2172649472,2072,8,32,23.5625,1663625311337,1663625352914,21388
Mon Sep 19 18:09:19 2022,8564768768,8168,32,8,73.7929,1663625360288,1663625451655,1174
Mon Sep 19 18:11:11 2022,1086324736,1036,4,16,12.3614,1663625472053,1663625503113,9748
Mon Sep 19 18:12:01 2022,1086324736,1036,4,16,12.3345,1663625522511,1663625555921,9383
Mon Sep 19 18:12:50 2022,4282384384,4084,16,4,37.5106,1663625571044,1663625626942,208
Mon Sep 19 18:13:54 2022,1077936128,1028,4,8,10.6195,1663625634728,1663625674671,1797
Mon Sep 19 18:14:43 2022,2143289344,2044,8,4,19.3619,1663625683953,1663625725306,263
Mon Sep 19 18:15:47 2022,2143289344,2044,8,4,19.2091,1663625747669,1663625785221,180
Mon Sep 19 18:16:35 2022,2172649472,2072,8,32,23.0772,1663625797269,1663625840321,21121
Mon Sep 19 18:17:25 2022,2147483648,2048,8,8,19.1509,1663625845777,1663625884721,1786
Mon Sep 19 18:18:15 2022,8573157376,8176,32,16,73.7241,1663625895585,1663625987330,22067
Mon Sep 19 18:20:03 2022,1103101952,1052,4,32,15.1833,1663626004541,1663626038052,12690
Mon Sep 19 18:20:52 2022,8560574464,8164,32,4,73.7316,1663626052195,1663626143099,170
Mon Sep 19 18:22:25 2022,4294967296,4096,16,16,37.4413,1663626146053,1663626201422,16419
Mon Sep 19 18:23:28 2022,4282384384,4084,16,4,37.3159,1663626208880,1663626264252,171
Mon Sep 19 18:24:32 2022,1073741824,1024,4,4,10.0419,1663626272343,1663626302520,232
Mon Sep 19 18:25:06 2022,1077936128,1028,4,8,10.0421,1663626306735,1663626336721,293
Mon Sep 19 18:25:56 2022,8573157376,8176,32,16,74.7727,1663626357260,1663626452560,20125
Mon Sep 19 18:27:45 2022,2147483648,2048,8,8,19.0484,1663626465802,1663626503657,723
Mon Sep 19 18:28:33 2022,1077936128,1028,4,8,10.4237,1663626514194,1663626542742,1618
Mon Sep 19 18:29:07 2022,8560574464,8164,32,4,73.5917,1663626547099,1663626638788,194
Mon Sep 19 18:30:55 2022,8589934592,8192,32,32,74.6589,1663626655401,1663626749937,50535
Mon Sep 19 18:32:43 2022,1103101952,1052,4,32,14.444,1663626764576,1663626798206,12736
Mon Sep 19 18:33:32 2022,2172649472,2072,8,32,23.063,1663626812297,1663626853229,20723
Mon Sep 19 18:34:20 2022,1103101952,1052,4,32,14.0627,1663626860818,1663626897077,12737
Mon Sep 19 18:35:08 2022,4286578688,4088,16,8,37.3437,1663626909058,1663626965794,270
Mon Sep 19 18:36:12 2022,1077936128,1028,4,8,10.8796,1663626973459,1663627004219,1461
Mon Sep 19 18:37:02 2022,8564768768,8168,32,8,73.8672,1663627022942,1663627117357,453
Mon Sep 19 18:38:51 2022,1073741824,1024,4,4,10.0291,1663627132175,1663627165685,158
Mon Sep 19 18:39:43 2022,2155872256,2056,8,16,20.2941,1663627183608,1663627226252,14858
