Date,Type,Object Size (KB),Total Time
Sat Jan  7 10:18:17 2023,Google,1048576.0,98.9666
Sat Jan  7 10:20:06 2023,Google,262144.0,95.0639
Sat Jan  7 10:21:54 2023,Google,1048576.0,101.492
Sat Jan  7 10:23:42 2023,Google,1048576.0,110.277
Sat Jan  7 10:25:45 2023,Azure,65536.0,272.826
Sat Jan  7 10:30:33 2023,Google,262144.0,106.729
Sat Jan  7 10:32:36 2023,Azure,65536.0,314.788
Sat Jan  7 10:37:55 2023,Google,4096.0,396.586
Sat Jan  7 10:44:43 2023,Azure,16384.0,306.845
Sat Jan  7 10:50:02 2023,Google,4096.0,320.347
Sat Jan  7 10:55:35 2023,Google,16384.0,149.403
Sat Jan  7 10:58:08 2023,Google,1024.0,1062.29
Sat Jan  7 11:15:57 2023,Azure,16384.0,332.858
Sat Jan  7 11:21:45 2023,Google,16384.0,129.44
Sat Jan  7 11:24:04 2023,Azure,262144.0,346.053
Sat Jan  7 11:29:52 2023,Azure,1048576.0,173.286
Sat Jan  7 11:32:55 2023,Google,4096.0,377.027
Sat Jan  7 11:39:28 2023,Google,65536.0,126.635
Sat Jan  7 11:41:47 2023,Azure,1024.0,567.979
Sat Jan  7 11:51:20 2023,Azure,1048576.0,179.625
Sat Jan  7 11:54:23 2023,Google,1024.0,1102.26
Sat Jan  7 12:12:57 2023,Azure,262144.0,289.166
Sat Jan  7 12:18:01 2023,Azure,4096.0,344.062
Sat Jan  7 12:23:49 2023,Azure,16384.0,259.2
Sat Jan  7 12:28:22 2023,Google,262144.0,104.411
Sat Jan  7 12:30:11 2023,Google,16384.0,134.617
Sat Jan  7 12:32:29 2023,Azure,1024.0,740.158
Sat Jan  7 12:45:02 2023,Azure,1048576.0,181.244
Sat Jan  7 12:48:21 2023,Azure,1024.0,610.114
Sat Jan  7 12:58:39 2023,Google,1024.0,995.948
Sat Jan  7 13:15:28 2023,Azure,4096.0,357.052
Sat Jan  7 13:21:31 2023,Azure,4096.0,286.033
Sat Jan  7 13:26:20 2023,Azure,262144.0,247.327
Sat Jan  7 13:30:38 2023,Google,65536.0,127.771
Sat Jan  7 13:32:56 2023,Google,65536.0,120.14
Sat Jan  7 13:34:59 2023,Azure,65536.0,331.039
