Date,Type,Object Size (KB),Total Time
Fri Jan 13 15:03:15 2023,Azure,65536.0,76.1525
Fri Jan 13 15:04:48 2023,Google,4096.0,112.572
Fri Jan 13 15:06:51 2023,Google,256.0,196.832
Fri Jan 13 15:10:24 2023,Azure,16.0,2150.8
Fri Jan 13 15:46:29 2023,Azure,1048576.0,103.966
Fri Jan 13 15:48:17 2023,Google,4096.0,84.6853
Fri Jan 13 15:49:50 2023,Azure,65536.0,76.2606
Fri Jan 13 15:51:24 2023,Azure,262144.0,76.2608
Fri Jan 13 15:52:57 2023,Google,256.0,195.402
Fri Jan 13 15:56:15 2023,Azure,65536.0,76.1467
Fri Jan 13 15:57:48 2023,Azure,1024.0,136.87
Fri Jan 13 16:00:21 2023,Azure,1024.0,134.699
Fri Jan 13 16:02:39 2023,Google,16384.0,72.0222
Fri Jan 13 16:03:58 2023,Azure,64.0,1601.99
Fri Jan 13 16:30:47 2023,Google,1048576.0,76.9602
Fri Jan 13 16:32:20 2023,Azure,262144.0,76.6422
Fri Jan 13 16:33:53 2023,Google,16.0,2571.61
Fri Jan 13 17:16:59 2023,Azure,16.0,2400.36
Fri Jan 13 17:57:04 2023,Azure,4096.0,88.1446
Fri Jan 13 17:58:37 2023,Azure,1024.0,143.198
Fri Jan 13 18:01:10 2023,Google,16.0,2536
Fri Jan 13 18:43:30 2023,Azure,16384.0,78.7883
Fri Jan 13 18:45:03 2023,Azure,16384.0,126.954
Fri Jan 13 18:47:21 2023,Google,64.0,599.451
Fri Jan 13 18:57:25 2023,Google,64.0,607.018
Fri Jan 13 19:07:43 2023,Google,65536.0,76.6429
Fri Jan 13 19:09:17 2023,Azure,4096.0,150.43
Fri Jan 13 19:11:50 2023,Azure,64.0,1428.48
Fri Jan 13 19:35:54 2023,Google,1024.0,112.038
Fri Jan 13 19:37:57 2023,Azure,4096.0,87.2555
Fri Jan 13 19:39:30 2023,Azure,1048576.0,81.0774
Fri Jan 13 19:41:03 2023,Google,262144.0,75.5887
Fri Jan 13 19:42:22 2023,Google,1024.0,108.198
Fri Jan 13 19:44:25 2023,Azure,256.0,1152.86
Fri Jan 13 20:03:44 2023,Azure,16.0,1788.66
Fri Jan 13 20:33:48 2023,Azure,262144.0,75.3848
Fri Jan 13 20:35:06 2023,Google,4096.0,115.113
Fri Jan 13 20:37:10 2023,Azure,64.0,1359.92
Fri Jan 13 20:59:59 2023,Google,262144.0,75.2673
Fri Jan 13 21:01:17 2023,Google,1048576.0,75.1034
Fri Jan 13 21:02:35 2023,Google,1024.0,104.81
Fri Jan 13 21:04:23 2023,Azure,256.0,702.383
Fri Jan 13 21:16:12 2023,Google,16.0,2287.24
Fri Jan 13 21:54:32 2023,Google,1048576.0,75.7636
Fri Jan 13 21:55:50 2023,Google,16384.0,118.247
Fri Jan 13 21:57:53 2023,Google,256.0,189.675
Fri Jan 13 22:01:11 2023,Azure,256.0,247.407
Fri Jan 13 22:05:30 2023,Google,262144.0,75.3808
Fri Jan 13 22:06:49 2023,Google,65536.0,76.4945
Fri Jan 13 22:08:22 2023,Azure,16384.0,78.3524
Fri Jan 13 22:09:56 2023,Azure,1048576.0,81.6064
Fri Jan 13 22:11:29 2023,Google,65536.0,76.9026
Fri Jan 13 22:13:02 2023,Google,64.0,696.592
Fri Jan 13 22:24:51 2023,Google,16384.0,68.2787
