Date,Type,# of requests,Total Time
Tue Jan 24 15:49:37 2023,S3,32.0,2.44326
Tue Jan 24 15:49:55 2023,Azure,131072.0,5069
Tue Jan 24 17:14:33 2023,S3,512.0,10.9661
Tue Jan 24 17:14:51 2023,S3,8.0,0.879181
Tue Jan 24 17:14:54 2023,Azure,128.0,6.45564
Tue Jan 24 17:15:12 2023,Google,32768.0,500.67
Tue Jan 24 17:23:46 2023,Azure,131072.0,4874.4
Tue Jan 24 18:45:08 2023,S3,8.0,1.05429
Tue Jan 24 18:45:26 2023,S3,32768.0,298.758
Tue Jan 24 18:50:30 2023,Google,512.0,11.4702
Tue Jan 24 18:50:48 2023,Azure,512.0,11.2966
Tue Jan 24 18:51:06 2023,Google,128.0,5.087
Tue Jan 24 18:51:24 2023,Azure,128.0,5.09538
Tue Jan 24 18:51:42 2023,Azure,512.0,11.6251
Tue Jan 24 18:52:00 2023,Google,512.0,13.579
Tue Jan 24 18:52:18 2023,Azure,2048.0,295.991
Tue Jan 24 23:57:56 2023,Google,131072.0,2264.03
Wed Jan 25 00:35:46 2023,Google,32768.0,743.716
Wed Jan 25 00:48:20 2023,S3,131072.0,1177.03
Wed Jan 25 01:08:09 2023,Azure,524288.0,15131.9
Wed Jan 25 05:20:25 2023,Google,32.0,2.31332
Wed Jan 25 05:20:44 2023,Google,32.0,1.74533
Wed Jan 25 05:21:02 2023,Azure,32768.0,1246.07
Wed Jan 25 05:41:51 2023,S3,524288.0,4693.59
Wed Jan 25 07:00:13 2023,Azure,8.0,0.913349
Wed Jan 25 07:00:16 2023,Azure,8192.0,137.827
Wed Jan 25 07:02:49 2023,Google,8.0,0.837626
Wed Jan 25 07:02:52 2023,Google,128.0,6.19512
Wed Jan 25 07:03:10 2023,Google,524288.0,8666.3
Wed Jan 25 09:27:50 2023,Google,8192.0,119.864
Wed Jan 25 09:29:54 2023,S3,32768.0,298.738
Wed Jan 25 09:34:57 2023,Google,32.0,1.9929
Wed Jan 25 09:35:15 2023,Google,128.0,6.73867
Wed Jan 25 09:35:33 2023,S3,2048.0,22.7782
Wed Jan 25 09:36:06 2023,S3,512.0,11.2902
Wed Jan 25 09:36:24 2023,S3,8192.0,78.5447
Wed Jan 25 09:37:57 2023,Azure,2048.0,36.9773
Wed Jan 25 09:38:45 2023,Google,524288.0,7497.41
Wed Jan 25 11:43:55 2023,S3,131072.0,1177.06
Wed Jan 25 12:03:44 2023,Google,512.0,11.0109
Wed Jan 25 12:04:02 2023,Azure,524288.0,13496.5
Wed Jan 25 15:49:02 2023,Azure,512.0,12.0864
Wed Jan 25 15:49:20 2023,S3,32768.0,297.532
Wed Jan 25 15:54:23 2023,Google,8192.0,113.474
Wed Jan 25 15:56:27 2023,Google,8192.0,124.596
Wed Jan 25 15:58:45 2023,S3,8192.0,78.504
Wed Jan 25 16:00:18 2023,S3,2048.0,23.0046
Wed Jan 25 16:00:51 2023,Google,2048.0,35.964
Wed Jan 25 16:01:39 2023,S3,512.0,10.4556
Wed Jan 25 16:01:57 2023,S3,524288.0,4692.94
Wed Jan 25 17:20:19 2023,S3,524288.0,4692.99
Wed Jan 25 18:38:41 2023,Azure,2048.0,37.8945
Wed Jan 25 18:39:29 2023,Azure,8.0,0.811317
Wed Jan 25 18:39:32 2023,S3,8.0,0.964232
Wed Jan 25 18:39:35 2023,S3,8192.0,79.2716
Wed Jan 25 18:41:08 2023,S3,131072.0,1176.11
Wed Jan 25 19:00:57 2023,Azure,32768.0,2115.23
Wed Jan 25 19:36:17 2023,Google,8.0,0.890612
Wed Jan 25 19:36:21 2023,S3,128.0,4.57111
Wed Jan 25 19:36:39 2023,Google,32768.0,525.061
Wed Jan 25 19:45:27 2023,Google,131072.0,1936.22
Wed Jan 25 20:17:47 2023,S3,2048.0,23.1794
Wed Jan 25 20:18:20 2023,Azure,32768.0,1363.25
Wed Jan 25 20:41:09 2023,Azure,8.0,0.848214
Wed Jan 25 20:41:12 2023,Azure,32.0,1.83439
Wed Jan 25 20:41:30 2023,Azure,8192.0,214.579
Wed Jan 25 20:45:19 2023,Google,8.0,0.799829
Wed Jan 25 20:45:22 2023,Google,2048.0,37.1239
Wed Jan 25 20:46:10 2023,Azure,8192.0,717.366
Wed Jan 25 20:58:14 2023,Azure,128.0,4.74296
Wed Jan 25 20:58:32 2023,S3,32.0,2.26278
Wed Jan 25 20:58:50 2023,Google,524288.0,7984.07
Wed Jan 25 23:12:18 2023,S3,128.0,4.63682
Wed Jan 25 23:12:36 2023,Google,2048.0,33.0657
Wed Jan 25 23:13:24 2023,Google,131072.0,2435.91
Wed Jan 25 23:54:14 2023,S3,32.0,2.09977
Wed Jan 25 23:54:53 2023,S3,128.0,5.93771
