Date,Platform,Type,Total Time,Transfer size (bytes),# of requests
Sun Feb  5 15:14:02 2023,gc,get,6.02971,536870912,32
Sun Feb  5 15:14:35 2023,s3,lambda,3.4652,48000000,32
Sun Feb  5 15:15:08 2023,gc,merge,5.55806,491283456,32
Sun Feb  5 15:15:41 2023,s3,lambda,2.5146,48000000,32
Sun Feb  5 15:16:14 2023,s3,merge,6.50963,491283456,32
Sun Feb  5 15:16:47 2023,gc,lambda,4.85794,48000000,32
Sun Feb  5 15:17:21 2023,gc,lambda,4.26181,48000000,32
Sun Feb  5 15:17:54 2023,gc,get,6.10142,536870912,32
Sun Feb  5 15:18:27 2023,s3,get,7.28695,536870912,32
Sun Feb  5 15:19:00 2023,gc,lambda,4.09648,48000000,32
Sun Feb  5 15:19:34 2023,s3,lambda,3.14837,48000000,32
Sun Feb  5 15:20:07 2023,s3,get,6.73121,536870912,32
Sun Feb  5 15:20:41 2023,azure,get,9.64947,536870912,32
Sun Feb  5 15:21:14 2023,s3,merge,6.89092,491283456,32
Sun Feb  5 15:21:48 2023,azure,merge,11.7708,491283456,32
Sun Feb  5 15:22:40 2023,azure,merge,11.323,491283456,32
Sun Feb  5 15:23:14 2023,s3,merge,7.27666,491283456,32
Sun Feb  5 15:23:48 2023,azure,get,9.85949,536870912,32
Sun Feb  5 15:24:22 2023,gc,get,6.76647,536870912,32
Sun Feb  5 15:24:56 2023,gc,merge,11.5895,491283456,32
Sun Feb  5 15:25:48 2023,gc,merge,6.14901,491283456,32
Sun Feb  5 15:26:22 2023,s3,get,7.58036,536870912,32
Sun Feb  5 15:27:11 2023,azure,merge,10.291,491283456,32
Sun Feb  5 15:27:45 2023,azure,get,14.0649,536870912,32
