Date,Platform,Type,Total Time,Transfer size (bytes),# of requests
Sun Feb 26 20:35:11 2023,azure,get,7.72236,536870912,32
Sun Feb 26 20:36:01 2023,s3,get,6.23471,536870912,32
Sun Feb 26 20:36:35 2023,s3,lambda,2.33557,48000000,32
Sun Feb 26 20:37:08 2023,azure,get,9.77361,536870912,32
Sun Feb 26 20:37:57 2023,gc,lambda,3.99174,48000000,32
Sun Feb 26 20:38:31 2023,gc,get,6.25299,536870912,32
Sun Feb 26 20:39:05 2023,s3,merge,6.18001,491283456,32
Sun Feb 26 20:39:39 2023,gc,merge,6.22459,491283456,32
Sun Feb 26 20:40:13 2023,s3,lambda,2.07844,48000000,32
Sun Feb 26 20:40:47 2023,s3,get,6.32278,536870912,32
Sun Feb 26 20:41:21 2023,gc,lambda,4.06868,48000000,32
Sun Feb 26 20:42:17 2023,s3,get,5.92916,536870912,32
Sun Feb 26 20:42:51 2023,azure,merge,7.89587,491283456,32
Sun Feb 26 20:43:42 2023,s3,lambda,2.15946,48000000,32
Sun Feb 26 20:44:15 2023,gc,lambda,3.9918,48000000,32
Sun Feb 26 20:44:49 2023,gc,merge,6.16142,491283456,32
Sun Feb 26 20:45:23 2023,s3,merge,6.22834,491283456,32
Sun Feb 26 20:46:14 2023,gc,merge,5.14626,491283456,32
Sun Feb 26 20:46:47 2023,gc,get,5.58074,536870912,32
Sun Feb 26 20:47:21 2023,s3,lambda,2.31725,48000000,32
Sun Feb 26 20:47:55 2023,azure,merge,7.8087,491283456,32
Sun Feb 26 20:48:29 2023,azure,merge,8.42734,491283456,32
Sun Feb 26 20:49:03 2023,gc,merge,5.25068,491283456,32
Sun Feb 26 20:49:36 2023,s3,lambda,2.81491,48000000,32
Sun Feb 26 20:50:25 2023,s3,get,6.27877,536870912,32
Sun Feb 26 20:50:58 2023,gc,merge,10.5068,491283456,32
Sun Feb 26 20:51:49 2023,azure,get,26.2101,536870912,32
Sun Feb 26 20:52:57 2023,gc,lambda,4.03734,48000000,32
Sun Feb 26 20:53:31 2023,gc,get,6.12969,536870912,32
Sun Feb 26 20:54:05 2023,gc,get,7.39361,536870912,32
Sun Feb 26 20:54:38 2023,azure,merge,6.46153,491283456,32
Sun Feb 26 20:55:28 2023,s3,merge,5.79302,491283456,32
Sun Feb 26 20:56:01 2023,azure,get,13.9545,536870912,32
Sun Feb 26 20:56:50 2023,gc,lambda,4.06069,48000000,32
Sun Feb 26 20:57:23 2023,s3,merge,5.92166,491283456,32
Sun Feb 26 20:57:57 2023,azure,get,7.95011,536870912,32
Sun Feb 26 20:58:47 2023,azure,merge,7.83634,491283456,32
Sun Feb 26 20:59:36 2023,s3,get,6.14764,536870912,32
Sun Feb 26 21:00:10 2023,s3,merge,6.00499,491283456,32
Sun Feb 26 21:00:59 2023,gc,get,6.88154,536870912,32
