Date,Platform,Type,Total Time,Transfer size (bytes),# of requests
Sun Feb 26 20:07:27 2023,azure,get,8.33653,536870912,32
Sun Feb 26 20:08:01 2023,azure,get,7.58096,536870912,32
Sun Feb 26 20:08:50 2023,s3,lambda,2.83859,48000000,32
Sun Feb 26 20:09:24 2023,gc,get,6.39525,536870912,32
Sun Feb 26 20:10:13 2023,s3,merge,2.13911,52406656,32
Sun Feb 26 20:10:47 2023,gc,lambda,4.12128,48000000,32
Sun Feb 26 20:11:36 2023,s3,lambda,2.56242,48000000,32
Sun Feb 26 20:12:10 2023,azure,merge,2.47612,52406656,32
Sun Feb 26 20:12:44 2023,azure,merge,2.01991,52406656,32
Sun Feb 26 20:13:18 2023,s3,get,6.1772,536870912,32
Sun Feb 26 20:13:51 2023,gc,get,5.66046,536870912,32
Sun Feb 26 20:14:25 2023,gc,lambda,4.06799,48000000,32
Sun Feb 26 20:14:59 2023,s3,lambda,2.67508,48000000,32
Sun Feb 26 20:15:32 2023,azure,get,8.65983,536870912,32
Sun Feb 26 20:16:06 2023,gc,merge,2.00194,52406656,32
Sun Feb 26 20:16:39 2023,azure,merge,2.14024,52406656,32
Sun Feb 26 20:17:13 2023,s3,get,6.11179,536870912,32
Sun Feb 26 20:18:04 2023,s3,merge,2.0769,52406656,32
Sun Feb 26 20:18:38 2023,s3,lambda,2.44536,48000000,32
Sun Feb 26 20:19:27 2023,gc,merge,1.70913,52406656,32
Sun Feb 26 20:20:01 2023,gc,get,6.16128,536870912,32
Sun Feb 26 20:20:34 2023,gc,merge,1.6518,52406656,32
Sun Feb 26 20:21:08 2023,gc,lambda,3.91984,48000000,32
Sun Feb 26 20:21:42 2023,gc,merge,2.3306,52406656,32
Sun Feb 26 20:22:16 2023,s3,merge,1.97182,52406656,32
Sun Feb 26 20:22:49 2023,azure,merge,3.14154,52406656,32
Sun Feb 26 20:23:24 2023,azure,get,8.44295,536870912,32
Sun Feb 26 20:23:58 2023,gc,lambda,11.5975,48000000,32
Sun Feb 26 20:24:47 2023,s3,get,6.0656,536870912,32
Sun Feb 26 20:25:21 2023,s3,merge,2.03641,52406656,32
Sun Feb 26 20:26:20 2023,s3,get,6.49723,536870912,32
Sun Feb 26 20:26:54 2023,gc,lambda,4.06344,48000000,32
Sun Feb 26 20:27:28 2023,gc,merge,1.75188,52406656,32
Sun Feb 26 20:28:01 2023,azure,merge,2.1203,52406656,32
Sun Feb 26 20:28:52 2023,s3,merge,5.35822,52406656,32
Sun Feb 26 20:29:26 2023,gc,get,6.48359,536870912,32
Sun Feb 26 20:29:59 2023,gc,get,6.6349,536870912,32
Sun Feb 26 20:30:48 2023,s3,get,6.23887,536870912,32
Sun Feb 26 20:31:22 2023,s3,lambda,3.06641,48000000,32
Sun Feb 26 20:31:55 2023,azure,get,7.71013,536870912,32
