Date,Type,Selectivity,Platform,Total Time (s),Cost ($),Transfer Size (bytes)
,,,,0,,
Wed Mar 22 15:07:07 2023,TileDB,0.01,azure,3354.564414024353,10.66484422847748,143104608960
Wed Mar 22 15:13:11 2023,TileDB,0.01,azure,3369.127993583679,10.66484422847748,143104608960
Wed Mar 22 15:19:14 2023,TileDB,0.01,gcs,1781.807816028595,14.662596814156533,143104608960
Wed Mar 22 15:23:17 2023,TileDB,0.05,azure,18061.114258766174,53.990773906667236,724467082860
Wed Mar 22 15:54:22 2023,TileDB,0.1,gcs,19098.65566968918,148.4587927433349,1448934165720
Wed Mar 22 16:28:26 2023,TileDB,0.05,gcs,8777.822432518005,74.22939637166745,724467082860
Wed Mar 22 16:44:30 2023,TileDB,0.01,s3,2591.5303230285645,11.997065757037163,143104608960
Wed Mar 22 16:49:33 2023,TileDB,0.1,s3,26581.213562488556,121.47029079000126,1448934165720
Wed Mar 22 17:35:38 2023,TileDB,0.05,s3,13212.193336486816,60.73514539500063,724467082860
Wed Mar 22 17:58:42 2023,TileDB,0.01,gcs,1810.385274887085,14.662596814156533,143104608960
Wed Mar 22 18:02:45 2023,TileDB,0.01,s3,2684.2512035369873,11.997065757037163,143104608960
Wed Mar 22 18:07:49 2023,TileDB,0.1,azure,36363.595418930054,107.98154781333447,1448934165720
Wed Mar 22 19:10:55 2023,TileDB,0.1,gcs,18536.575756072998,148.4587927433349,1448934165720
Wed Mar 22 19:43:59 2023,TileDB,0.05,gcs,9435.973734855652,74.22939637166745,724467082860
Wed Mar 22 20:01:02 2023,TileDB,0.1,s3,26399.59454536438,121.47029079000126,1448934165720
Wed Mar 22 20:47:07 2023,TileDB,0.05,s3,13204.206721782684,60.73514539500063,724467082860
Wed Mar 22 21:10:11 2023,TileDB,0.05,azure,17362.385153770447,53.990773906667236,724467082860
Wed Mar 22 21:40:15 2023,TileDB,0.1,azure,34651.76484823227,107.98154781333447,1448934165720
