Date,Type,Selectivity,Platform,Total Time (s),Cost ($),Transfer Size (bytes)
,,,,0,,
Tue Mar 28 12:17:41 2023,TileDB,0.1,s3,1369.5927357673645,1.291132054309845,15326496000
Tue Mar 28 12:20:44 2023,TileDB,0.05,azure,393.46705198287964,0.5750064685821533,7663248000
Tue Mar 28 12:21:47 2023,TileDB,0.05,gcs,757.5170969963074,0.7883051443004608,7663248000
Tue Mar 28 12:22:50 2023,TileDB,0.1,azure,1351.7810916900635,1.1500129371643066,15326496000
Tue Mar 28 12:24:53 2023,TileDB,0.1,gcs,1298.2350587844849,1.5766102886009217,15326496000
Tue Mar 28 12:26:56 2023,TileDB,0.01,s3,171.35222911834717,0.12751921524047852,1513728000
Tue Mar 28 12:28:00 2023,TileDB,0.05,azure,774.081289768219,0.5750064685821533,7663248000
Tue Mar 28 12:29:03 2023,TileDB,0.1,s3,1271.3037991523743,1.291132054309845,15326496000
Tue Mar 28 12:32:06 2023,TileDB,0.1,gcs,1407.1692442893982,1.5766102886009217,15326496000
Tue Mar 28 12:33:09 2023,TileDB,0.01,gcs,178.06992769241333,0.1557145964050293,1513728000
Tue Mar 28 12:34:12 2023,TileDB,0.01,azure,157.75419235229492,0.11358152465820312,1513728000
Tue Mar 28 12:35:15 2023,TileDB,0.01,gcs,162.60987281799316,0.1557145964050293,1513728000
Tue Mar 28 12:36:18 2023,TileDB,0.1,azure,1279.8045063018799,1.1500129371643066,15326496000
Tue Mar 28 12:38:22 2023,TileDB,0.05,gcs,651.5094113349915,0.7883051443004608,7663248000
Tue Mar 28 12:39:25 2023,TileDB,0.01,azure,187.75160312652588,0.11358152465820312,1513728000
Tue Mar 28 12:40:28 2023,TileDB,0.05,s3,699.0864658355713,0.6455660271549225,7663248000
Tue Mar 28 12:42:31 2023,TileDB,0.01,s3,192.59531259536743,0.12751921524047852,1513728000
Tue Mar 28 12:43:34 2023,TileDB,0.05,s3,689.304084777832,0.6455660271549225,7663248000
