Date,Type,Selectivity,Total Time (s),Cost ($)
,,,0,
Sun Mar 12 21:07:33 2023,HSDS,0.05,947.2215099334717,2.804837603824615
Sun Mar 12 21:24:37 2023,HSDS,0.01,683.613698720932,1.7140382613377274
Sun Mar 12 21:37:41 2023,HSDS,0.1,1226.6341638565063,4.214798116329193
Sun Mar 12 21:59:45 2023,HSDS,0.1,1207.8362669944763,4.214798116329193
Sun Mar 12 22:21:49 2023,HSDS,0.01,659.9608674049377,1.7140382613377274
Sun Mar 12 22:34:52 2023,HSDS,0.01,654.8261110782623,1.7140382613377274
Sun Mar 12 22:47:56 2023,HSDS,0.1,1201.946128129959,4.214798116329193
Sun Mar 12 23:10:00 2023,HSDS,0.05,941.9966921806335,2.804837603824615
Sun Mar 12 23:27:04 2023,HSDS,0.05,938.2840490341187,2.804837603824615
