Date,Type,Selectivity,Total Time (s),Cost ($)
,,,0,
Sat Mar 11 01:08:42 2023,TileDB,0.1,2557.627932071686,2.646894560813904
Sat Mar 11 01:52:47 2023,TileDB,0.01,1468.6288633346558,0.5973882710933686
Sat Mar 11 02:18:51 2023,TileDB,0.01,1451.2731368541718,0.5973882710933686
Sat Mar 11 02:43:55 2023,TileDB,0.05,1742.8012170791626,1.8287106049060822
Sat Mar 11 03:14:00 2023,TileDB,0.01,1360.0168619155884,0.5973882710933686
Sat Mar 11 03:38:04 2023,TileDB,0.05,1890.6751565933228,1.8287106049060822
Sat Mar 11 04:11:09 2023,TileDB,0.1,2389.2313239574432,2.646894560813904
Sat Mar 11 04:52:13 2023,TileDB,0.1,2481.7794120311737,2.646894560813904
Sat Mar 11 05:35:18 2023,TileDB,0.05,1813.1779510974884,1.8287106049060822
