Date,Type,Selectivity,Total Time (s),Cost ($)
,,,0,
Sat Mar 11 20:11:39 2023,TileDB,0.01,890.5595481395721,0.8192526227533817
Sat Mar 11 20:27:42 2023,TileDB,0.05,1075.2556638717651,2.511961456745863
Sat Mar 11 20:46:46 2023,TileDB,0.01,873.0020287036896,0.8192526227533817
Sat Mar 11 21:02:50 2023,TileDB,0.1,1258.2797813415527,3.6367487711191178
Sat Mar 11 21:24:54 2023,TileDB,0.05,1057.9937679767609,2.511961456745863
Sat Mar 11 21:43:58 2023,TileDB,0.05,1096.6116816997528,2.511961456745863
Sat Mar 11 22:03:02 2023,TileDB,0.1,1354.8745274543762,3.6367487711191178
Sat Mar 11 22:27:06 2023,TileDB,0.1,1286.3927409648895,3.6367487711191178
Sat Mar 11 22:50:10 2023,TileDB,0.01,874.0141999721527,0.8192526227533817
