Date,Type,Selectivity,Total Time (s),Cost ($)
,,,0,
Fri Mar 10 18:18:41 2023,TileDB,0.05,953.0693333148956,2.0558775555193423
Fri Mar 10 18:35:45 2023,TileDB,0.05,920.623298406601,2.0558775555193423
Fri Mar 10 18:51:48 2023,TileDB,0.05,902.6517601013184,2.0558775555193423
Fri Mar 10 19:07:52 2023,TileDB,0.1,1340.7986509799957,2.976212630915642
Fri Mar 10 19:30:56 2023,TileDB,0.1,1339.332811832428,2.976212630915642
Fri Mar 10 19:54:00 2023,TileDB,0.01,721.2102928161621,0.6708430549800396
Fri Mar 10 20:07:04 2023,TileDB,0.1,1362.9780178070068,2.976212630915642
Fri Mar 10 20:31:08 2023,TileDB,0.01,732.2090153694153,0.6708430549800396
Fri Mar 10 20:44:11 2023,TileDB,0.01,731.8456330299377,0.6708430549800396
