Date,Type,# of lambda,Total Time,Start Timestamp,End Timestamp,Billed Duration(ms)
Mon Feb 13 17:25:27 2023,Google,39,22.8693,1676327127475,1676327168361,534.974358974359
Mon Feb 13 17:26:16 2023,Google,39,25.1372,1676327177604,1676327222257,481.64102564102564
Mon Feb 13 17:27:20 2023,Google,0,10.7067,1676327241270,1676327270339,0
Mon Feb 13 17:27:55 2023,Google,64,37.3221,1676327275620,1676327331295,480.09375
Mon Feb 13 17:28:59 2023,Google,52,32.1777,1676327339720,1676327389495,469.1730769230769
Mon Feb 13 17:30:03 2023,Google,26,19.9124,1676327403712,1676327441735,463.96153846153845
Mon Feb 13 17:30:52 2023,Google,52,31.532,1676327452937,1676327502084,450.65384615384613
Mon Feb 13 17:31:56 2023,Google,13,12.4616,1676327517354,1676327547585,465.0769230769231
Mon Feb 13 17:32:46 2023,Google,52,31.4162,1676327566370,1676327616061,465.5769230769231
Mon Feb 13 17:33:50 2023,Google,39,23.4556,1676327630545,1676327671868,476.28205128205127
Mon Feb 13 17:34:39 2023,Google,39,23.6243,1676327679853,1676327722293,466.3076923076923
Mon Feb 13 17:35:28 2023,Google,13,12.8297,1676327728745,1676327760297,448.46153846153845
Mon Feb 13 17:36:18 2023,Google,64,37.3778,1676327779053,1676327834044,472.125
Mon Feb 13 17:37:22 2023,Google,26,17.5779,1676327843337,1676327879083,465.5769230769231
Mon Feb 13 17:38:11 2023,Google,64,37.4093,1676327892319,1676327947881,453.453125
Mon Feb 13 17:39:16 2023,Google,13,12.5819,1676327956419,1676327986962,418.9230769230769
Mon Feb 13 17:40:05 2023,Google,64,37.4915,1676328005461,1676328061889,464.453125
Mon Feb 13 17:41:09 2023,Google,13,12.4744,1676328069461,1676328100175,451.0
Mon Feb 13 17:41:58 2023,Google,13,13.2142,1676328119336,1676328150674,439.3076923076923
Mon Feb 13 17:42:48 2023,Google,0,10.5054,1676328169294,1676328198311,0
Mon Feb 13 17:43:23 2023,Google,0,11.6371,1676328203502,1676328234027,0
Mon Feb 13 17:44:12 2023,Google,0,13.1158,1676328253077,1676328284417,0
Mon Feb 13 17:45:02 2023,Google,39,23.5098,1676328303111,1676328344604,485.61538461538464
Mon Feb 13 17:45:51 2023,Google,52,30.9652,1676328352352,1676328401635,492.5192307692308
Mon Feb 13 17:46:56 2023,Google,64,37.3989,1676328416602,1676328472095,462.6875
Mon Feb 13 17:48:01 2023,Google,26,17.387,1676328481635,1676328517450,436.03846153846155
Mon Feb 13 17:48:50 2023,Google,52,33.1953,1676328530752,1676328581668,452.5192307692308
Mon Feb 13 17:49:54 2023,Google,26,17.3007,1676328594761,1676328630488,440.7307692307692
Mon Feb 13 17:50:43 2023,Google,0,10.4049,1676328643877,1676328672528,0
Mon Feb 13 17:51:17 2023,Google,26,17.7077,1676328677902,1676328713834,441.46153846153845
