Date,Platform,Query,Phi,Transferred Size (Byte),Total Time (s),Cost ($),Lambda Time (ms)
Mon Mar 20 17:35:00 2023,Azure,column,1000,78383153152,921,5.8423359999999995,0
Mon Mar 20 18:10:35 2023,Azure,column,1000,78383153152,874.71,5.8423359999999995,0
Mon Mar 20 18:46:55 2023,S3,cube,0,68717468160,598.152,5.767882266504553,363702.0
Mon Mar 20 18:56:58 2023,Azure,row,1000,68718428160,601.434,5.122257875,0
Mon Mar 20 19:09:47 2023,S3,cube,0,68717468160,597.507,5.766710076804553,293511.0
Mon Mar 20 19:19:51 2023,S3,row,0,68718428160,597.68,5.772031425174999,598474.0
Mon Mar 20 19:29:54 2023,S3,column,0,68718428160,598.828,5.772441660675,623039.0
Mon Mar 20 19:39:58 2023,Azure,cube,1000,72661801088,Time:697.14,5.415994053237915,0
Mon Mar 20 20:15:18 2023,Azure,row,1000,68718428160,613.25,5.122257875,0
Mon Mar 20 20:40:07 2023,S3,row,0,68718428160,598.632,5.770199401775,488772.0
Mon Mar 20 20:50:11 2023,S3,column,0,68718428160,600.022,5.771459032675,564199.0
Mon Mar 20 21:00:29 2023,Azure,cube,1000,72661801088,685.13,5.415994053237915,0
