Date,Platform,Query,Chunk Size (MB),Transferred Size (Byte),Total Time (s),Cost ($),Lambda Time (ms)
Thu Mar 16 21:34:13 2023,Azure,cube,16.0,72715239840,678.11,5.419975550525665,0.0
Thu Mar 16 22:05:48 2023,S3,row,7.998291015625,68718428160,597.283,5.764725920775,45342.0
Thu Mar 16 22:15:51 2023,GCS,cube,4.0,70624647296,683.08,7.24206531861229,0.0
Thu Mar 16 22:27:25 2023,Azure,column,7.998291015625,76676010712,937.79,5.717403476603508,0.0
Thu Mar 16 23:00:00 2023,S3,row,4.0,68718428160,596.501,5.768144480775,36142.0
Thu Mar 16 23:10:03 2023,GCS,row,16.0,68718428160,598.134,7.041761378125,0.0
Thu Mar 16 23:20:22 2023,GCS,cube,16.0,72661801088,637.926,7.445687723202133,0.0
Thu Mar 16 23:31:10 2023,GCS,column,16.0,78383153152,698.139,8.0318688,0.0
Thu Mar 16 23:42:59 2023,S3,cube,7.998291015625,68717468160,596.956,5.764306172804553,44391.0
Thu Mar 16 23:53:02 2023,S3,column,16.0,68718428160,598.944,5.770093924575,482456.0
Fri Mar 17 00:03:06 2023,Azure,row,7.998291015625,69428514656,696.29,5.1774229416923525,0.0
Fri Mar 17 00:31:41 2023,S3,column,4.0,68718428160,598.481,5.768146835475,36283.0
Fri Mar 17 00:41:59 2023,GCS,cube,7.998291015625,71301812832,649.806,7.3080530691594126,0.0
Fri Mar 17 00:53:03 2023,GCS,column,7.998291015625,76676010712,726.115,7.858787367829823,0.0
Fri Mar 17 01:05:21 2023,Azure,cube,7.998291015625,71456122592,755.76,5.328276505153656,0.0
Fri Mar 17 01:34:56 2023,S3,cube,4.0,68717468160,598.682,5.767586607804553,32441.0
Fri Mar 17 01:45:14 2023,S3,column,7.998291015625,68718428160,598.14,5.7647658504749995,47733.0
Fri Mar 17 01:55:18 2023,Azure,column,4.0,74625056768,1485.77,5.5688960000000005,0.0
Fri Mar 17 02:20:22 2023,Azure,column,16.0,78383153152,809.77,5.8423359999999995,0.0
Fri Mar 17 02:34:11 2023,S3,cube,16.0,68717468160,596.859,5.7670128311045525,311640.0
Fri Mar 17 02:44:15 2023,S3,row,16.0,68718428160,598.277,5.769950538374999,473870.0
Fri Mar 17 02:54:18 2023,GCS,row,7.998291015625,69086963648,623.622,7.081323774272346,0.0
Fri Mar 17 03:04:52 2023,GCS,row,4.0,68725768192,664.573,7.04776133125,0.0
Fri Mar 17 03:16:11 2023,GCS,column,4.0,74625056768,758.178,7.652116800000001,0.0
Fri Mar 17 03:28:59 2023,Azure,cube,4.0,70925616096,1391.04,5.29298169109726,0.0
Fri Mar 17 04:25:35 2023,Azure,row,4.0,69533171712,1066.86,5.189521,0.0
Fri Mar 17 05:00:25 2023,Azure,row,16.0,68725768192,601.5,5.122804749999999,0.0
