Date,Type,Query,Transferred Size (Byte),Total Time (s),Cost ($),Lambda Time (ms)
Thu Mar 16 00:05:25 2023,LAMBDA,column,68718428160,624.833,0.6059769007375,1627694.0
Thu Mar 16 00:15:44 2023,LAMBDA,row,68718428160,624.096,0.6077409718375,1733327.0
Thu Mar 16 00:26:02 2023,GET,column,78383153152,677.616,0.6588687999999999,0
Thu Mar 16 00:37:36 2023,Pareto,column,68718428160,599.944,0.5871935130375,543563.0
Thu Mar 16 00:47:54 2023,MERGE,row,68718428160,596.786,0.5778600109375,0
Thu Mar 16 00:57:58 2023,Pareto,row,68718428160,597.826,0.5869618783374999,545022.0
Thu Mar 16 01:08:01 2023,GET,cube,76101451776,659.33,0.6396894,0
Thu Mar 16 01:19:20 2023,GET,column,78383153152,677.149,0.6588687999999999,0
Thu Mar 16 01:30:54 2023,GET,cube,76101451776,658.015,0.6396894,0
Thu Mar 16 01:41:57 2023,GET,row,78383153152,678.494,0.6588687999999999,0
Thu Mar 16 01:53:31 2023,MERGE,cube,72659980416,628.407,0.6108433202928543,0
Thu Mar 16 02:04:04 2023,MERGE,cube,72659980416,628.554,0.6108433202928543,0
Thu Mar 16 02:14:38 2023,MERGE,row,68718428160,595.689,0.5778600109375,0
Thu Mar 16 02:24:41 2023,Pareto,cube,68717468160,596.841,0.5831863295104552,312956.0
Thu Mar 16 02:34:45 2023,LAMBDA,cube,68717468160,624.443,0.6063712368104552,1656675.0
Thu Mar 16 02:45:04 2023,Pareto,row,68718428160,596.315,0.5866018764375,523465.0
Thu Mar 16 02:55:07 2023,LAMBDA,cube,68717468160,623.872,0.6058424313104552,1625010.0
Thu Mar 16 03:05:26 2023,LAMBDA,column,68718428160,624.07,0.6071806701375,1699776.0
Thu Mar 16 03:15:44 2023,Pareto,column,68718428160,599.985,0.5868882203375,525282.0
Thu Mar 16 03:26:03 2023,MERGE,column,78378434048,830.207,0.6588292449272155,0
Thu Mar 16 03:40:06 2023,LAMBDA,row,68718428160,624.761,0.6070863652374999,1694129.0
Thu Mar 16 03:50:25 2023,MERGE,column,78378434048,677.216,0.6588292449272155,0
Thu Mar 16 04:01:59 2023,Pareto,cube,68717468160,597.351,0.5824736236104553,270279.0
Thu Mar 16 04:12:02 2023,GET,row,78383153152,678.11,0.6588687999999999,0
