System,Platform,Selectivity,Time,Cost,Transfer Size (bytes),Transfer Size, Choosen
ArrayMorph,S3,1.00%,134.46175,0.245728064328432,2931650000,2.73031182587147,s
ArrayMorph,S3,5.00%,399.47825,1.22867594473064,14658675000,13.6519549414516,s
ArrayMorph,S3,10.00%,622.0745,2.45738751254976,29317775000,27.3043056949973,s
TileDB,S3,1.00%,731.845633029938,0.67084305498004,7967678000,7.42047838866711,
TileDB,S3,5.00%,920.623298406601,2.05587755551934,24485818000,22.804195061326,
TileDB,S3,10.00%,1340.79865098,2.97621263091564,35462264000,33.0268070101738,
TileDB,Azure,1.00%,1451.27313685417,0.597388271093369,7967678000,7.42047838866711,
TileDB,Azure,5.00%,1813.17795109749,1.82871060490608,24485818000,22.804195061326,
TileDB,Azure,10.00%,2481.77941203117,2.6468945608139,35462264000,33.0268070101738,
TileDB,GCS,1.00%,874.014199972153,0.819252622753382,7967678000,7.42047838866711,
TileDB,GCS,5.00%,1075.25566387177,2.51196145674586,24485818000,22.804195061326,
TileDB,GCS,10.00%,1286.39274096489,3.63674877111912,35462264000,33.0268070101738,
HSDS,S3,1.00%,659.960867404938,1.71403826133773,20378406030,18.9788695704192,
HSDS,S3,5.00%,941.996692180634,2.80483760382462,33347672320,31.0574400424957,
HSDS,S3,10.00%,1207.83626699448,4.21479811632919,50111174400,46.6696679592133,
HSDS,Azure,1.00%,772.759892940521,1.52573456563354,20378406030,18.9788695704192,
HSDS,Azure,5.00%,1255.39691877365,2.49668020339966,33347672320,31.0574400424957,
HSDS,Azure,10.00%,1634.1948530674,3.75173343673706,50111174400,46.6696679592133,
HSLAMBDA,S3,1.00%,23422.711,0.614785666,2931650000,2.73031182587147,
