Platform,Operator,Time,Cost,Query
Azure,Get,9.77,0.045016,Column-based
Azure,Range,7.84,0.0411949035797119,Column-based
GCS,Get,6.25,0.055,Column-based
GCS,Lambda,4.04,0.00491780559396973,Column-based
GCS,Range,6.16,0.0503297710418701,Column-based
S3,Get,6.23,0.045,Column-based
S3,Lambda,2.32,0.00419966552233887,Column-based
S3,Range,6,0.0411789035797119,Column-based
Azure,Get,8.34,0.040016,Row-based
Azure,Range,2.14,0.00392060014343262,Row-based
GCS,Get,6.4,0.0225,Row-based
GCS,Lambda,4.07,0.00491780559396973,Row-based
GCS,Range,1.75,0.00536882519721985,Row-based
S3,Get,6.18,0.045,Row-based
S3,Lambda,2.68,0.00419966552233887,Row-based
S3,Range,2.08,0.00439267516136169,Row-based
