Query,Plan,Time,Cost,Transfer Size (GB)
Row,Read-All,678.302,0.6588688,73
Row,Lambda-Filter,624.4285,0.6074136685375,63.9990234375
Row,Merge,596.2375,0.5778600109375,63.9990234375
Row,ArrayMorph,597.0705,0.5778600109375,63.9990234375
Column,Read-All,677.3825,0.6588688,73
Column,Lambda-Filter,624.4515,0.6065787854375,63.9990234375
Column,Merge,753.7115,0.658829244927215,72.9956049919128
Column,ArrayMorph,599.9645,0.5870408666875,63.9990234375
Cube,Read-All,658.6725,0.6396894,70.875
Cube,Lambda-Filter,624.1575,0.606106834060455,63.9981293678284
Cube,Merge,628.4805,0.610843320292854,67.6698800325394
Cube,ArrayMorph,597.096,0.582829976560455,63.9981293678284
