Platform,Query,Chunk Size,Time,Cost,Transfer Size,Choosen
Azure,Column-based,4,1485.77,5.568896,69.5,
Azure,Column-based,8,937.79,5.71740347660351,71.4100997075439,
Azure,Column-based,16,809.77,5.842336,73,
Azure,Row-based,4,1066.86,5.189521,64.7578125,
Azure,Row-based,8,696.29,5.17742294169235,64.6603430211544,
Azure,Row-based,16,601.5,5.12280475,64.005859375, s
Azure,Cube-based,4,1391.04,5.29298169109726,66.0546273887158,
Azure,Cube-based,8,755.76,5.32827650515366,66.5487000644207,
Azure,Cube-based,16,678.11,5.41997555052567,67.7213443815708,
GCS,Column-based,4,758.178,7.6521168,69.5,
GCS,Column-based,8,726.115,7.85878736782982,71.4100997075439,
GCS,Column-based,16,698.139,8.0318688,73,
GCS,Row-based,4,664.573,7.04776133125,64.005859375,
GCS,Row-based,8,623.622,7.08132377427235,64.3422488570213,
GCS,Row-based,16,598.134,7.041761378125,63.9990234375,
GCS,Cube-based,4,683.08,7.24206531861229,65.7743283510208,
GCS,Cube-based,8,649.806,7.30805306915941,66.4049879014492,
GCS,Cube-based,16,637.926,7.44568772320213,67.6715756654739,
S3,Column-based,4,598.481,5.768146835475,63.9990234375,s
S3,Column-based,8,598.14,5.764765850475,63.9990234375,
S3,Column-based,16,598.944,5.770093924575,63.9990234375,
S3,Row-based,4,596.501,5.768144480775,63.9990234375,
S3,Row-based,8,597.283,5.764725920775,63.9990234375,
S3,Row-based,16,598.277,5.769950538375,63.9990234375,
S3,Cube-based,4,598.682,5.76758660780455,63.9981293678284,s
S3,Cube-based,8,596.956,5.76430617280455,63.9981293678284,
S3,Cube-based,16,596.859,5.76701283110455,63.9981293678284,
